t,prompt_throughput,gen_throughput,running,waiting,kv_cache_pct
44.0,192.0,1.0,7,43,0.0
99.0,960.0,6.0,8,42,0.0
114.0,384.0,8.0,8,42,0.0
115.0,0.0,8.0,8,42,0.0
116.0,0.0,8.0,8,42,0.0
117.0,0.0,8.0,8,42,0.0
118.0,0.0,8.0,8,42,0.0
119.0,0.0,8.0,8,42,0.0
120.0,0.0,8.0,8,42,0.0
121.0,0.0,8.0,8,42,0.0
122.0,0.0,8.0,8,42,0.0
123.0,0.0,8.0,8,42,0.0
124.0,0.0,8.0,8,42,0.0
125.0,0.0,8.0,8,42,0.0
126.0,0.0,8.0,8,42,0.0
127.0,0.0,8.0,8,42,0.0
129.0,0.0,8.0,8,42,0.0
130.0,0.0,8.0,8,42,0.0
131.0,0.0,8.0,8,42,0.0
132.0,0.0,8.0,8,42,0.0
133.0,0.0,8.0,8,42,0.0
134.0,0.0,8.0,8,42,0.0
135.0,0.0,8.0,8,42,0.0
137.0,0.0,8.0,8,42,0.0
138.0,0.0,8.0,8,42,0.0
139.0,0.0,8.0,8,42,0.0
140.0,0.0,8.0,8,42,0.0
141.0,0.0,8.0,8,42,0.0
142.0,0.0,8.0,8,42,0.0
143.0,0.0,8.0,8,42,0.0
145.0,0.0,8.0,8,42,0.0
146.0,0.0,8.0,8,42,0.0
147.0,0.0,8.0,8,42,0.0
148.0,0.0,8.0,8,42,0.0
149.0,0.0,8.0,8,42,0.0
150.0,0.0,8.0,8,42,0.0
152.0,0.0,8.0,8,42,0.0
153.0,0.0,8.0,8,42,0.0
154.0,0.0,8.0,8,42,0.0
155.0,0.0,8.0,8,42,0.0
156.0,0.0,8.0,8,42,0.0
157.0,0.0,8.0,8,42,0.0
158.0,0.0,8.0,8,42,0.0
160.0,0.0,8.0,8,42,0.0
161.0,0.0,8.0,8,42,0.0
162.0,0.0,8.0,8,42,0.0
163.0,0.0,8.0,8,42,0.0
164.0,0.0,8.0,8,42,0.0
165.0,0.0,8.0,8,42,0.0
166.0,0.0,8.0,8,42,0.0
167.0,0.0,8.0,8,42,0.0
169.0,0.0,8.0,8,42,0.0
170.0,0.0,8.0,8,42,0.0
171.0,0.0,8.0,8,42,0.0
172.0,0.0,8.0,8,42,0.0
173.0,0.0,8.0,8,42,0.0
174.0,0.0,8.0,8,42,0.0
175.0,0.0,8.0,8,42,0.0
176.0,0.0,8.0,8,42,0.0
177.0,0.0,8.0,8,42,0.0
178.0,0.0,8.0,8,42,0.0
180.0,0.0,8.0,8,42,0.0
181.0,0.0,8.0,8,42,0.0
182.0,0.0,8.0,7,42,0.0
193.0,0.0,7.0,3,41,0.0
217.0,192.0,3.0,6,36,0.0
257.0,960.0,6.0,8,34,0.0
273.0,384.0,8.0,8,34,0.0
