instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,10,70,46926808,827547677,780620869,0,11008270,11153805,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475]"
0,8,meta-llama/Llama-3.1-8B,18,58,903845071,1550903523,647058452,16141,11345985,11152850,"[11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963]"
1,1,meta-llama/Llama-3.1-8B,22,104,347938952,1511730350,1163791398,121625,11670489,11185639,"[11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547, 11235051, 11236523, 11237995, 11239467, 11240907, 11242347, 11243787, 11245195, 11246603, 11247979, 11249355, 11250699, 11252075, 11253419, 11254731, 11256043, 11257355]"
2,2,meta-llama/Llama-3.1-8B,16,69,479613521,1249400465,769786944,5961,11118484,11156889,"[11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523]"
3,3,meta-llama/Llama-3.1-8B,4,12,570907776,704485290,133577514,8415,10951505,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]"
3,9,meta-llama/Llama-3.1-8B,5,26,1026970077,1316640246,289670169,2335,10952486,11148707,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731]"
4,4,meta-llama/Llama-3.1-8B,13,96,587870263,1660193468,1072323205,8238,11057360,11171219,"[11147819, 11147819, 11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707, 11219339, 11221003, 11222603, 11224235, 11225803, 11227403, 11228939, 11230507, 11232011, 11233547]"
5,5,meta-llama/Llama-3.1-8B,15,63,604829893,1307408836,702578943,1588,11068309,11153397,"[11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283]"
6,6,meta-llama/Llama-3.1-8B,15,84,610813769,1548591074,937777305,5767,11072488,11165118,"[11147819, 11147819, 11148107, 11148395, 11148651, 11148907, 11149131, 11149387, 11149611, 11149803, 11149995, 11150187, 11150379, 11150571, 11150731, 11150923, 11151083, 11151243, 11151211, 11151179, 11151147, 11151115, 11151083, 11151051, 11151019, 11150987, 11150987, 11150955, 11150923, 11150891, 11150891, 11150859, 11150827, 11150827, 11150795, 11150763, 11150763, 11150731, 11150699, 11150699, 11150667, 11150667, 11150635, 11150635, 11150603, 11150603, 11150571, 11150571, 11150539, 11150539, 11153035, 11155499, 11157931, 11160331, 11162667, 11165003, 11167275, 11169547, 11171787, 11173963, 11176139, 11178283, 11180395, 11182475, 11184523, 11186571, 11188587, 11190571, 11192523, 11194443, 11196363, 11198251, 11200107, 11201963, 11203787, 11205579, 11207371, 11209131, 11210891, 11212619, 11214315, 11216011, 11217707]"
7,7,meta-llama/Llama-3.1-8B,2,9,811936856,912216490,100279634,9692,11097082,11147819,"[11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819, 11147819]"
