submitted_at	run_id	job_id	model	mode	iteration	hardware	status
2026-06-22T00:30:30Z	scat_p01_phi_i0	8009139	microsoft/Phi-tiny-MoE-instruct	scattered	0	V100_full_dvfs_scat_p01_phi_i0	submitted
2026-06-22T00:30:31Z	scat_p01_phi_i1	8009140	microsoft/Phi-tiny-MoE-instruct	scattered	1	V100_full_dvfs_scat_p01_phi_i1	submitted
2026-06-22T00:30:31Z	scat_p01_phi_i2	8009141	microsoft/Phi-tiny-MoE-instruct	scattered	2	V100_full_dvfs_scat_p01_phi_i2	submitted
2026-06-22T00:30:31Z	scat_p01_qwen_i0	8009142	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	V100_full_dvfs_scat_p01_qwen_i0	submitted
2026-06-22T00:30:31Z	scat_p01_qwen_i1	8009143	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	V100_full_dvfs_scat_p01_qwen_i1	submitted
2026-06-22T00:30:32Z	scat_p01_qwen_i2	8009144	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	V100_full_dvfs_scat_p01_qwen_i2	submitted
2026-06-22T00:30:32Z	scat_p02_phi_i0	8009145	microsoft/Phi-tiny-MoE-instruct	scattered	0	V100_full_dvfs_scat_p02_phi_i0	submitted
2026-06-22T00:30:32Z	scat_p02_phi_i1	8009146	microsoft/Phi-tiny-MoE-instruct	scattered	1	V100_full_dvfs_scat_p02_phi_i1	submitted
2026-06-22T00:30:32Z	scat_p02_phi_i2	8009147	microsoft/Phi-tiny-MoE-instruct	scattered	2	V100_full_dvfs_scat_p02_phi_i2	submitted
2026-06-22T00:30:32Z	scat_p02_qwen_i0	8009148	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	V100_full_dvfs_scat_p02_qwen_i0	submitted
2026-06-22T00:30:32Z	scat_p02_qwen_i1	8009149	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	V100_full_dvfs_scat_p02_qwen_i1	submitted
2026-06-22T00:30:33Z	scat_p02_qwen_i2	8009150	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	V100_full_dvfs_scat_p02_qwen_i2	submitted
2026-06-22T00:30:33Z	scat_p03_phi_i0	8009151	microsoft/Phi-tiny-MoE-instruct	scattered	0	V100_full_dvfs_scat_p03_phi_i0	submitted
2026-06-22T00:30:33Z	scat_p03_phi_i1	8009152	microsoft/Phi-tiny-MoE-instruct	scattered	1	V100_full_dvfs_scat_p03_phi_i1	submitted
2026-06-22T00:30:33Z	scat_p03_phi_i2	8009153	microsoft/Phi-tiny-MoE-instruct	scattered	2	V100_full_dvfs_scat_p03_phi_i2	submitted
2026-06-22T00:30:33Z	scat_p03_qwen_i0	8009154	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	V100_full_dvfs_scat_p03_qwen_i0	submitted
2026-06-22T00:30:33Z	scat_p03_qwen_i1	8009155	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	V100_full_dvfs_scat_p03_qwen_i1	submitted
2026-06-22T00:30:34Z	scat_p03_qwen_i2	8009156	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	V100_full_dvfs_scat_p03_qwen_i2	submitted
2026-06-22T00:30:34Z	scat_p04_phi_i0	8009157	microsoft/Phi-tiny-MoE-instruct	scattered	0	V100_full_dvfs_scat_p04_phi_i0	submitted
2026-06-22T00:30:34Z	scat_p04_phi_i1	8009158	microsoft/Phi-tiny-MoE-instruct	scattered	1	V100_full_dvfs_scat_p04_phi_i1	submitted
2026-06-22T00:30:34Z	scat_p04_phi_i2	8009159	microsoft/Phi-tiny-MoE-instruct	scattered	2	V100_full_dvfs_scat_p04_phi_i2	submitted
2026-06-22T00:30:35Z	scat_p04_qwen_i0	8009160	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	0	V100_full_dvfs_scat_p04_qwen_i0	submitted
2026-06-22T00:30:35Z	scat_p04_qwen_i1	8009161	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	1	V100_full_dvfs_scat_p04_qwen_i1	submitted
2026-06-22T00:30:35Z	scat_p04_qwen_i2	8009162	Qwen/Qwen1.5-MoE-A2.7B-Chat	scattered	2	V100_full_dvfs_scat_p04_qwen_i2	submitted
2026-06-22T00:30:35Z	scat_p05_phi_i0	8009163	microsoft/Phi-tiny-MoE-instruct	scattered	0	V100_full_dvfs_scat_p05_phi_i0	submitted
2026-06-22T00:30:35Z	scat_p05_phi_i1	8009164	microsoft/Phi-tiny-MoE-instruct	scattered	1	V100_full_dvfs_scat_p05_phi_i1	submitted
