submitted_at	job_id	model	hardware	gpu_freq_mhz	status
2026-06-21T21:29:21Z	8008651	microsoft/Phi-tiny-MoE-instruct	V100	default	submitted
2026-06-21T21:29:21Z	8008652	microsoft/Phi-tiny-MoE-instruct	V100_900MHz	900	submitted
2026-06-21T21:29:21Z	8008653	microsoft/Phi-tiny-MoE-instruct	V100_1100MHz	1100	submitted
2026-06-21T21:29:21Z	8008654	microsoft/Phi-tiny-MoE-instruct	V100_1300MHz	1300	submitted
2026-06-21T21:29:22Z	8008655	microsoft/Phi-tiny-MoE-instruct	V100_1500MHz	1500	submitted
2026-06-21T21:29:22Z	8008656	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100	default	submitted
2026-06-21T21:29:22Z	8008657	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_900MHz	900	submitted
2026-06-21T21:29:22Z	8008658	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1100MHz	1100	submitted
2026-06-21T21:29:22Z	8008659	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1300MHz	1300	submitted
2026-06-21T21:29:22Z	8008660	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1500MHz	1500	submitted
2026-06-21T21:29:47Z	8008661	microsoft/Phi-tiny-MoE-instruct	V100	default	submitted
2026-06-21T21:29:47Z	8008662	microsoft/Phi-tiny-MoE-instruct	V100_700MHz	700	submitted
2026-06-21T21:29:48Z	8008663	microsoft/Phi-tiny-MoE-instruct	V100_900MHz	900	submitted
2026-06-21T21:29:48Z	8008664	microsoft/Phi-tiny-MoE-instruct	V100_1100MHz	1100	submitted
2026-06-21T21:29:48Z	8008665	microsoft/Phi-tiny-MoE-instruct	V100_1300MHz	1300	submitted
2026-06-21T21:29:48Z	8008666	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100	default	submitted
2026-06-21T21:29:48Z	8008667	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_700MHz	700	submitted
2026-06-21T21:29:48Z	8008668	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_900MHz	900	submitted
2026-06-21T21:29:49Z	8008669	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1100MHz	1100	submitted
2026-06-21T21:29:49Z	8008670	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1300MHz	1300	submitted
