submitted_at	job_id	model	hardware	gpu_freq_mhz	status
2026-06-17T13:51:23Z	7987187	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100	default	submitted
2026-06-17T13:51:23Z	7987188	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_700MHz	700	submitted
2026-06-17T13:51:23Z	7987189	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_900MHz	900	submitted
2026-06-17T13:51:24Z	7987190	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1100MHz	1100	submitted
2026-06-17T13:51:24Z	7987191	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1300MHz	1300	submitted
2026-06-17T13:56:21Z	7987199	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100	default	submitted
2026-06-17T13:56:21Z	7987200	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_700MHz	700	submitted
2026-06-17T13:56:21Z	7987201	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_900MHz	900	submitted
2026-06-17T13:56:24Z	7987202	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1100MHz	1100	submitted
2026-06-17T13:56:24Z	7987203	Qwen/Qwen1.5-MoE-A2.7B-Chat	V100_1300MHz	1300	submitted
