submitted_at	job_id	model	hardware	gpu_freq_mhz	status
2026-06-15T20:58:38Z		meta-llama/Llama-3.1-8B	V100_700MHz	700	submitted
2026-06-15T20:58:38Z		meta-llama/Llama-3.1-8B	V100_900MHz	900	submitted
2026-06-15T20:58:38Z		meta-llama/Llama-3.1-8B	V100_1100MHz	1100	submitted
2026-06-15T20:58:40Z		meta-llama/Llama-3.1-8B	V100_1300MHz	1300	submitted
2026-06-15T21:23:14Z	7969156	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_700MHz	700	submitted
2026-06-15T21:23:14Z	7969157	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_900MHz	900	submitted
2026-06-15T21:23:15Z	7969158	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_1100MHz	1100	submitted
2026-06-15T21:23:15Z	7969159	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_1300MHz	1300	submitted
2026-06-15T21:27:00Z	7969179	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_700MHz	700	submitted
2026-06-15T21:27:00Z	7969180	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_900MHz	900	submitted
2026-06-15T21:27:00Z	7969181	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_1100MHz	1100	submitted
2026-06-15T21:27:00Z	7969182	Qwen/Qwen3-30B-A3B-Instruct-2507	V100_1300MHz	1300	submitted
