prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,30.656
0,0,1,32,30.527
0,0,1,64,30.784
0,0,1,128,30.688
0,0,1,256,38.976
0,0,2,16,30.623
0,0,2,32,30.688
0,0,2,64,30.975
0,0,2,128,33.535
0,0,2,256,48.768
0,0,4,16,37.023
0,0,4,32,31.746
0,0,4,64,33.504
0,0,4,128,34.687
0,0,4,256,50.016
0,0,8,16,34.975
0,0,8,32,35.968
0,0,8,64,38.529
0,0,8,128,52.993
0,0,8,256,81.438
0,0,16,16,39.519
0,0,16,32,47.008
0,0,16,64,63.104
0,0,16,128,88.767
0,0,16,256,143.391
0,0,32,16,68.223
0,0,32,32,79.712
0,0,32,64,104.671
0,0,32,128,155.167
0,0,32,256,246.078
16,0,0,0,35.648
16,0,1,16,35.392
16,0,1,32,48.767
16,0,1,64,64.512
16,0,1,128,96.448
16,0,1,256,159.967
16,0,2,16,35.679
16,0,2,32,48.832
16,0,2,64,65.28
16,0,2,128,96.511
16,0,2,256,159.487
16,0,4,16,36.032
16,0,4,32,49.888
16,0,4,64,65.663
16,0,4,128,98.431
16,0,4,256,163.39
16,0,8,16,39.712
16,0,8,32,55.039
16,0,8,64,71.935
16,0,8,128,104.063
16,0,8,256,168.255
16,0,16,16,39.872
16,0,16,32,67.135
16,0,16,64,95.679
16,0,16,128,148.414
16,0,16,256,255.998
16,16,0,0,35.455
16,16,1,16,35.616
16,16,1,32,48.799
16,16,1,64,64.704
16,16,1,128,96.736
16,16,1,256,160.671
16,16,2,16,36.288
16,16,2,32,48.832
16,16,2,64,64.511
16,16,2,128,97.119
16,16,2,256,160.447
16,16,4,16,36
16,16,4,32,49.662
16,16,4,64,66.303
16,16,4,128,98.816
16,16,4,256,163.871
16,16,8,16,39.679
16,16,8,32,54.848
16,16,8,64,72.031
16,16,8,128,105.023
16,16,8,256,167.933
16,16,16,16,40.16
16,16,16,32,68.383
16,16,16,64,94.239
16,16,16,128,146.751
