layer,sequences,time_us
lm_head,1,442.045
lm_head,2,445.757
lm_head,3,450.204
lm_head,4,490.588
lm_head,5,500.571
lm_head,6,492.924
lm_head,7,494.012
lm_head,8,496.701
lm_head,9,502.236
lm_head,10,503.809
lm_head,11,512.476
lm_head,12,516.38
lm_head,13,522.076
lm_head,14,512.861
lm_head,15,509.116
lm_head,16,523.484
lm_head,20,674.524
lm_head,24,662.554
lm_head,28,698.458
lm_head,32,700.315
sampler,1,27.8617
sampler,2,40.0533
sampler,3,40.3947
sampler,4,42.3787
sampler,5,48.6717
sampler,6,51.1893
sampler,7,52.8747
sampler,8,54.6027
sampler,9,61.3343
sampler,10,62.8267
sampler,11,66.122
sampler,12,68.6503
sampler,13,73.92
sampler,14,78.3573
sampler,15,81.9937
sampler,16,84.4783
sampler,20,96.8423
sampler,24,115.552
sampler,28,126.304
sampler,32,134.39
sampler,36,150.42
sampler,40,141.034
sampler,44,149.717
sampler,48,154.208
sampler,52,159.412
sampler,56,168.469
sampler,60,178.101
sampler,64,176.191
sampler,80,209.322
sampler,96,250.644
sampler,112,290.666
sampler,128,329.971
sampler,144,359.764
sampler,160,383.038
sampler,176,443.559
sampler,192,480.936
sampler,208,509.181
sampler,224,533.16
sampler,240,566.078
sampler,256,598.151
