layer,tokens,time_us
embedding,1,8.064
embedding,2,8.416
embedding,3,9.151
embedding,4,10.111
embedding,5,10.144
embedding,6,10.624
embedding,7,11.872
embedding,8,11.393
embedding,9,12.352
embedding,10,13.153
embedding,11,13.343
embedding,12,13.823
embedding,13,14.56
embedding,14,15.2
embedding,15,15.552
embedding,16,16.096
embedding,20,7.52
embedding,24,7.424
embedding,28,7.36
embedding,32,7.232
embedding,36,7.552
embedding,40,7.457
embedding,44,15.297
embedding,48,7.712
embedding,52,7.904
embedding,56,7.84
embedding,60,8.064
embedding,64,8.096
embedding,80,9.024
embedding,96,8.512
embedding,112,8.511
embedding,128,6.945
embedding,144,6.655
embedding,160,5.984
embedding,176,5.6
embedding,192,5.408
embedding,208,5.471
embedding,224,5.536
embedding,240,6.24
embedding,256,5.825
final_layernorm,1,4.36267
final_layernorm,2,4.49067
final_layernorm,3,4.31967
final_layernorm,4,4.50167
final_layernorm,5,4.096
final_layernorm,6,4.55467
final_layernorm,7,4.352
final_layernorm,8,4
final_layernorm,9,4.192
final_layernorm,10,4.11767
final_layernorm,11,3.94633
final_layernorm,12,4.21333
final_layernorm,13,5.97333
final_layernorm,14,6.82667
final_layernorm,15,7.52
final_layernorm,16,6.00533
final_layernorm,20,6.517
final_layernorm,24,6.464
final_layernorm,28,6.55967
final_layernorm,32,6.698
final_layernorm,36,6.90133
final_layernorm,40,5.792
final_layernorm,44,5.39767
final_layernorm,48,4.93867
final_layernorm,52,4.90667
final_layernorm,56,5.06667
final_layernorm,60,4.86433
final_layernorm,64,5.10967
final_layernorm,80,5.269
final_layernorm,96,6.037
final_layernorm,112,5.952
final_layernorm,128,6.186
final_layernorm,144,6.091
final_layernorm,160,6.52833
final_layernorm,176,8.14867
final_layernorm,192,8
final_layernorm,208,8.17033
final_layernorm,224,8.17067
final_layernorm,240,8.821
final_layernorm,256,7.81867
final_layernorm,272,7.88267
final_layernorm,288,8.011
final_layernorm,304,8.203
final_layernorm,320,8.26667
final_layernorm,336,8.69333
final_layernorm,352,8.16
final_layernorm,368,8.51167
final_layernorm,384,9.088
final_layernorm,400,9.109
final_layernorm,416,9.98433
final_layernorm,432,10.1653
final_layernorm,448,9.88767
final_layernorm,464,10.5813
final_layernorm,480,10.3147
final_layernorm,496,11.2747
final_layernorm,512,11.2107
final_layernorm,528,11.467
final_layernorm,544,12.309
final_layernorm,560,12.288
final_layernorm,576,13.024
final_layernorm,592,13.2797
final_layernorm,608,13.1517
final_layernorm,624,13.6423
final_layernorm,640,13.8877
final_layernorm,656,15.2107
final_layernorm,672,15.9467
final_layernorm,688,16.661
final_layernorm,704,16.8853
final_layernorm,720,17.7283
final_layernorm,736,17.9733
final_layernorm,752,18.1223
final_layernorm,768,18.1653
final_layernorm,784,18.7413
final_layernorm,800,18.88
final_layernorm,816,19.7013
final_layernorm,832,19.947
final_layernorm,848,20.3733
final_layernorm,864,20.5013
final_layernorm,880,21.408
final_layernorm,896,21.2263
final_layernorm,912,22.5917
final_layernorm,928,22.3043
final_layernorm,944,22.5383
final_layernorm,960,23.4347
final_layernorm,976,23.7013
final_layernorm,992,24.6293
final_layernorm,1008,24.757
final_layernorm,1024,25.3973
final_layernorm,1040,25.9833
final_layernorm,1056,27.0827
final_layernorm,1072,27.3067
final_layernorm,1088,27.8613
final_layernorm,1104,28.458
final_layernorm,1120,29.3227
