layer,sequences,time_us
lm_head,1,857.53
lm_head,2,867.163
lm_head,3,874.362
lm_head,4,877.752
lm_head,5,878.265
lm_head,6,883.929
lm_head,7,886.394
lm_head,8,888.313
lm_head,9,887.577
lm_head,10,896.415
lm_head,11,969.335
lm_head,12,974.936
lm_head,13,979.993
lm_head,14,984.184
lm_head,15,977.594
lm_head,16,979.896
lm_head,20,990.488
lm_head,24,1004.06
lm_head,28,1015.83
lm_head,32,1040.15
sampler,1,30.271
sampler,2,31.008
sampler,3,31.134
sampler,4,33.664
sampler,5,37.279
sampler,6,40.096
sampler,7,40.128
sampler,8,41.728
sampler,9,46.624
sampler,10,49.694
sampler,11,53.408
sampler,12,55.199
sampler,13,60.736
sampler,14,62.11
sampler,15,64.928
sampler,16,67.68
sampler,20,79.967
sampler,24,91.742
sampler,28,102.111
sampler,32,105.663
