tokens,activated_experts,time_us
1,8,6032.28
2,8,6021.04
2,16,11609.6
4,8,6049.37
4,16,11619
4,32,22889.1
8,8,6108.12
8,16,11649.7
8,32,22969.4
8,64,43465.3
16,8,6055.58
16,16,11566.6
16,32,22910.5
16,64,43461.9
16,128,85717.5
32,8,11578.3
32,16,11564
32,32,22955.4
32,64,43480.1
32,128,85666.9
64,8,18729.9
64,16,18973
64,32,38253.3
64,64,73318.4
64,128,144523
128,8,76256.2
128,16,76323.9
128,32,149826
128,64,300405
128,128,582633
256,8,116830
256,16,117148
256,32,116976
256,64,236730
256,128,464411
