prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,19.903
0,0,1,32,20.416
0,0,1,64,20.159
0,0,1,128,20.864
0,0,1,256,25.6
0,0,2,16,20.48
0,0,2,32,20.319
0,0,2,64,20.192
0,0,2,128,20.799
0,0,2,256,29.759
0,0,4,16,20.769
0,0,4,32,20.768
0,0,4,64,21.281
0,0,4,128,22.56
0,0,4,256,31.583
0,0,8,16,21.857
0,0,8,32,22.368
0,0,8,64,24.384
0,0,8,128,36.064
0,0,8,256,53.119
0,0,16,16,24.384
0,0,16,32,29.088
0,0,16,64,39.52
0,0,16,128,54.144
0,0,16,256,82.719
0,0,32,16,41.024
0,0,32,32,48.545
0,0,32,64,63.521
0,0,32,128,96.031
0,0,32,256,147.647
16,0,0,0,23.455
16,0,1,16,23.519
16,0,1,32,31.135
16,0,1,64,40.417
16,0,1,128,58.879
16,0,1,256,96.319
16,0,2,16,23.552
16,0,2,32,31.104
16,0,2,64,40.448
16,0,2,128,58.656
16,0,2,256,96.512
16,0,4,16,23.328
16,0,4,32,31.616
16,0,4,64,40.864
16,0,4,128,60.415
16,0,4,256,98.559
16,0,8,16,24.96
16,0,8,32,33.633
16,0,8,64,42.975
16,0,8,128,62.144
16,0,8,256,100.415
16,0,16,16,25.536
16,0,16,32,40.864
16,0,16,64,56.609
16,0,16,128,88.991
16,0,16,256,151.87
16,16,0,0,22.816
16,16,1,16,23.424
16,16,1,32,30.944
16,16,1,64,40.415
16,16,1,128,58.751
16,16,1,256,96.543
16,16,2,16,23.296
16,16,2,32,30.88
16,16,2,64,40.416
16,16,2,128,59.616
16,16,2,256,96.19
16,16,4,16,23.584
16,16,4,32,31.552
16,16,4,64,41.568
16,16,4,128,60.512
16,16,4,256,98.207
16,16,8,16,25.087
16,16,8,32,33.728
16,16,8,64,42.623
16,16,8,128,62.335
16,16,8,256,100.415
16,16,16,16,25.28
16,16,16,32,41.248
16,16,16,64,57.152
16,16,16,128,89.184
16,16,16,256,150.078
16,32,0,0,31.903
16,32,1,16,31.904
16,32,1,32,32.32
16,32,1,64,40.286
16,32,1,128,59.616
16,32,1,256,96.511
16,32,2,16,32.064
16,32,2,32,31.84
16,32,2,64,40.608
16,32,2,128,59.455
16,32,2,256,95.71
16,32,4,16,31.808
16,32,4,32,31.583
16,32,4,64,40.832
16,32,4,128,59.743
16,32,4,256,97.951
16,32,8,16,31.968
16,32,8,32,40.831
16,32,8,64,48.831
16,32,8,128,68.576
16,32,8,256,105.92
16,32,16,16,33.44
16,32,16,32,41.247
16,32,16,64,57.535
16,32,16,128,88.447
16,32,16,256,151.327
16,64,0,0,41.056
16,64,1,16,41.152
16,64,1,32,41.184
16,64,1,64,41.215
16,64,1,128,59.552
16,64,1,256,96.447
16,64,2,16,41.184
16,64,2,32,41.311
16,64,2,64,41.633
16,64,2,128,59.456
16,64,2,256,96.031
16,64,4,16,41.343
16,64,4,32,41.088
16,64,4,64,41.632
16,64,4,128,60.031
16,64,4,256,98.463
16,64,8,16,42.592
16,64,8,32,49.184
16,64,8,64,56.736
16,64,8,128,73.696
16,64,8,256,113.983
16,64,16,16,43.104
16,64,16,32,49.536
16,64,16,64,57.919
16,64,16,128,87.648
16,64,16,256,150.621
16,128,0,0,59.807
16,128,1,16,59.679
16,128,1,32,59.872
16,128,1,64,59.999
16,128,1,128,59.967
16,128,1,256,96.767
16,128,2,16,59.968
16,128,2,32,59.808
16,128,2,64,60.159
16,128,2,128,60.384
16,128,2,256,96.514
16,128,4,16,60.254
16,128,4,32,60
16,128,4,64,60.095
16,128,4,128,60.575
16,128,4,256,98.399
16,128,8,16,60.863
16,128,8,32,67.936
16,128,8,64,75.872
16,128,8,128,87.393
16,128,8,256,124.479
16,128,16,16,61.503
16,128,16,32,68.48
16,128,16,64,76.192
16,128,16,128,89.055
16,128,16,256,151.711
16,256,0,0,97.406
16,256,1,16,98.047
16,256,1,32,97.662
16,256,1,64,97.855
16,256,1,128,97.791
16,256,1,256,98.112
16,256,2,16,97.566
16,256,2,32,97.823
16,256,2,64,97.697
16,256,2,128,98.335
16,256,2,256,97.727
16,256,4,16,97.951
16,256,4,32,97.823
16,256,4,64,97.983
16,256,4,128,97.951
16,256,4,256,97.949
16,256,8,16,98.047
16,256,8,32,105.566
16,256,8,64,112.063
16,256,8,128,126.304
16,256,8,256,151.326
16,256,16,16,99.231
16,256,16,32,106.111
16,256,16,64,113.376
16,256,16,128,126.207
16,256,16,256,152.383
32,0,0,0,23.616
32,0,1,16,23.52
32,0,1,32,31.904
32,0,1,64,41.024
32,0,1,128,59.647
32,0,1,256,96.991
32,0,2,16,24.128
32,0,2,32,31.136
32,0,2,64,40.479
32,0,2,128,59.198
32,0,2,256,96.063
32,0,4,16,25.119
32,0,4,32,33.279
32,0,4,64,43.072
32,0,4,128,61.953
32,0,4,256,100.126
32,0,8,16,26.048
32,0,8,32,40.223
32,0,8,64,55.201
32,0,8,128,86.207
32,0,8,256,148.927
32,0,16,16,25.376
32,0,16,32,40.863
32,0,16,64,57.183
32,0,16,128,89.152
32,0,16,256,151.359
32,16,0,0,31.744
32,16,1,16,31.776
32,16,1,32,31.071
32,16,1,64,39.808
32,16,1,128,59.391
32,16,1,256,96.479
32,16,2,16,31.744
32,16,2,32,31.616
32,16,2,64,40.416
32,16,2,128,59.84
32,16,2,256,96.991
32,16,4,16,33.44
32,16,4,32,39.295
32,16,4,64,47.584
32,16,4,128,65.567
32,16,4,256,103.232
32,16,8,16,40.608
32,16,8,32,40.608
32,16,8,64,55.103
32,16,8,128,87.073
32,16,8,256,150.977
32,16,16,16,41.087
32,16,16,32,40.768
32,16,16,64,57.055
32,16,16,128,88.926
32,16,16,256,151.871
32,32,0,0,31.744
32,32,1,16,32.192
32,32,1,32,31.744
32,32,1,64,40.768
32,32,1,128,59.072
32,32,1,256,96.319
32,32,2,16,32.032
32,32,2,32,31.616
32,32,2,64,40.768
32,32,2,128,59.231
32,32,2,256,96.863
32,32,4,16,40.479
32,32,4,32,40.384
32,32,4,64,49.12
32,32,4,128,68.287
32,32,4,256,106.111
32,32,8,16,40.255
32,32,8,32,40.959
32,32,8,64,55.711
32,32,8,128,86.561
32,32,8,256,148.927
32,32,16,16,40.416
32,32,16,32,41.248
32,32,16,64,57.119
32,32,16,128,88.255
32,32,16,256,150.911
32,64,0,0,41.727
32,64,1,16,41.151
32,64,1,32,41.216
32,64,1,64,42.048
32,64,1,128,59.646
32,64,1,256,96.608
32,64,2,16,41.696
32,64,2,32,41.696
32,64,2,64,42.304
32,64,2,128,59.326
32,64,2,256,97.438
32,64,4,16,56.097
32,64,4,32,56.799
32,64,4,64,56.768
32,64,4,128,73.855
32,64,4,256,111.071
32,64,8,16,57.247
32,64,8,32,56.191
32,64,8,64,56.641
32,64,8,128,86.24
32,64,8,256,148.191
32,64,16,16,57.089
32,64,16,32,56.928
32,64,16,64,58.08
32,64,16,128,88.735
32,64,16,256,151.008
32,128,0,0,60.415
32,128,1,16,60.736
32,128,1,32,60.255
32,128,1,64,60.799
32,128,1,128,60.479
32,128,1,256,96.383
32,128,2,16,60.222
32,128,2,32,60.607
32,128,2,64,60.608
32,128,2,128,60.735
32,128,2,256,97.215
32,128,4,16,88.286
32,128,4,32,87.52
32,128,4,64,87.582
32,128,4,128,88.415
32,128,4,256,124.319
32,128,8,16,87.262
32,128,8,32,88.352
32,128,8,64,87.84
32,128,8,128,87.775
32,128,8,256,148.862
32,128,16,16,88.735
32,128,16,32,88.414
32,128,16,64,89.695
32,128,16,128,90.144
32,128,16,256,151.455
32,256,0,0,97.855
32,256,1,16,97.823
32,256,1,32,97.951
32,256,1,64,98.08
32,256,1,128,97.727
32,256,1,256,102.527
32,256,2,16,97.727
32,256,2,32,97.696
32,256,2,64,98.207
32,256,2,128,98.271
32,256,2,256,98.207
32,256,4,16,150.111
32,256,4,32,151.198
32,256,4,64,149.535
32,256,4,128,150.047
32,256,4,256,150.623
32,256,8,16,150.047
32,256,8,32,150.592
32,256,8,64,151.07
32,256,8,128,150.559
32,256,8,256,150.975
32,256,16,16,150.143
32,256,16,32,150.399
32,256,16,64,151.679
32,256,16,128,151.327
32,256,16,256,152.447
64,0,0,0,39.743
64,0,1,16,40.224
64,0,1,32,40.927
64,0,1,64,48.64
64,0,1,128,66.112
64,0,1,256,102.911
64,0,2,16,40.896
64,0,2,32,40
64,0,2,64,48.48
64,0,2,128,67.455
64,0,2,256,103.711
64,0,4,16,40.192
64,0,4,32,40.767
64,0,4,64,55.424
64,0,4,128,86.592
64,0,4,256,149.151
64,0,8,16,43.616
64,0,8,32,43.904
64,0,8,64,59.263
64,0,8,128,91.616
64,0,8,256,153.439
64,0,16,16,54.848
64,0,16,32,63.263
64,0,16,64,77.535
64,0,16,128,109.311
64,0,16,256,171.199
64,16,0,0,49.632
64,16,1,16,50.112
64,16,1,32,48.672
64,16,1,64,49.088
64,16,1,128,67.616
64,16,1,256,103.679
64,16,2,16,49.119
64,16,2,32,48.671
64,16,2,64,55.807
64,16,2,128,72.063
64,16,2,256,108.607
64,16,4,16,56.255
64,16,4,32,56.128
64,16,4,64,55.712
64,16,4,128,86.207
64,16,4,256,148.575
64,16,8,16,59.904
64,16,8,32,60.319
64,16,8,64,60.832
64,16,8,128,91.839
64,16,8,256,154.078
64,16,16,16,78.079
64,16,16,32,68.671
64,16,16,64,82.303
64,16,16,128,98.207
64,16,16,256,164.383
64,32,0,0,56.096
64,32,1,16,56.351
64,32,1,32,56.095
64,32,1,64,56.544
64,32,1,128,72.704
64,32,1,256,110.847
64,32,2,16,56.704
64,32,2,32,56.608
64,32,2,64,56.32
64,32,2,128,73.535
64,32,2,256,109.152
64,32,4,16,56.864
64,32,4,32,56.48
64,32,4,64,56.096
64,32,4,128,85.76
64,32,4,256,148.735
64,32,8,16,59.68
64,32,8,32,60.446
64,32,8,64,60.032
64,32,8,128,91.903
64,32,8,256,155.711
64,32,16,16,69.184
64,32,16,32,78.271
64,32,16,64,92.639
64,32,16,128,123.583
64,32,16,256,186.911
64,64,0,0,71.808
64,64,1,16,72.193
64,64,1,32,72.415
64,64,1,64,72.191
64,64,1,128,78.4
64,64,1,256,117.119
64,64,2,16,72.032
64,64,2,32,72.511
64,64,2,64,71.839
64,64,2,128,79.935
64,64,2,256,115.296
64,64,4,16,72.672
64,64,4,32,71.615
64,64,4,64,72.063
64,64,4,128,86.431
64,64,4,256,148.447
64,64,8,16,76.032
64,64,8,32,75.519
64,64,8,64,76.415
