layer,tokens,time_us
embedding,1,11.552
embedding,2,10.24
embedding,3,10.496
embedding,4,10.88
embedding,5,12.575
embedding,6,12.672
embedding,7,13.056
embedding,8,13.44
embedding,9,14.816
embedding,10,15.488
embedding,11,17.664
embedding,12,17.248
embedding,13,16.896
embedding,14,17.504
embedding,15,18.304
embedding,16,19.648
embedding,20,8.384
embedding,24,8.223
embedding,28,8.96
embedding,32,8.448
embedding,36,8.64
embedding,40,9.121
embedding,44,9.44
embedding,48,8.896
embedding,52,9.056
embedding,56,9.376
embedding,60,9.343
embedding,64,9.216
embedding,80,10.592
embedding,96,10.144
embedding,112,10.784
embedding,128,10.336
embedding,144,10.56
embedding,160,10.592
embedding,176,11.008
embedding,192,10.752
embedding,208,11.008
embedding,224,11.361
embedding,240,11.295
embedding,256,11.776
final_layernorm,1,7.328
final_layernorm,2,6.72
final_layernorm,3,7.296
final_layernorm,4,6.752
final_layernorm,5,7.04
final_layernorm,6,7.744
final_layernorm,7,6.624
final_layernorm,8,7.456
final_layernorm,9,8.16
final_layernorm,10,7.168
final_layernorm,11,6.912
final_layernorm,12,6.88
final_layernorm,13,7.391
final_layernorm,14,6.88
final_layernorm,15,8.736
final_layernorm,16,7.007
final_layernorm,20,7.904
final_layernorm,24,7.424
final_layernorm,28,7.904
final_layernorm,32,8.48
final_layernorm,36,8.191
final_layernorm,40,8.095
final_layernorm,44,8.224
final_layernorm,48,7.969
final_layernorm,52,11.2
final_layernorm,56,9.311
final_layernorm,60,9.856
final_layernorm,64,8.895
final_layernorm,80,10.08
final_layernorm,96,12.511
final_layernorm,112,10.848
final_layernorm,128,11.392
final_layernorm,144,11.488
final_layernorm,160,10.912
final_layernorm,176,15.072
final_layernorm,192,14.976
final_layernorm,208,15.808
final_layernorm,224,14.465
final_layernorm,240,14.464
final_layernorm,256,15.681
layernorm,1,8.048
layernorm,2,7.104
layernorm,3,7.92
layernorm,4,6.912
layernorm,5,7.0875
layernorm,6,7.9355
layernorm,7,6.992
layernorm,8,7.968
layernorm,9,7.12
layernorm,10,7.2005
layernorm,11,7.472
layernorm,12,7.28
layernorm,13,7.0555
layernorm,14,7.7605
layernorm,15,7.68
layernorm,16,7.072
layernorm,20,7.456
layernorm,24,7.472
layernorm,28,7.856
layernorm,32,7.5355
layernorm,36,7.904
layernorm,40,8.192
layernorm,44,8.576
layernorm,48,8.0315
layernorm,52,8.224
layernorm,56,8.352
layernorm,60,8.336
layernorm,64,8.416
layernorm,80,9.8715
layernorm,96,9.984
layernorm,112,10.064
layernorm,128,10
layernorm,144,9.4875
layernorm,160,10.064
layernorm,176,11.968
layernorm,192,12.32
layernorm,208,12.256
layernorm,224,13.0885
layernorm,240,13.728
layernorm,256,12.4315
o_proj,1,57.696
o_proj,2,77.951
o_proj,3,76.607
o_proj,4,75.583
o_proj,5,71.2
o_proj,6,74.464
o_proj,7,75.648
o_proj,8,73.952
o_proj,9,72.927
o_proj,10,77.792
o_proj,11,78.527
o_proj,12,76.864
o_proj,13,74.527
o_proj,14,74.72
o_proj,15,75.166
o_proj,16,77.631
o_proj,20,121.759
o_proj,24,129.471
o_proj,28,126.367
o_proj,32,125.919
o_proj,36,138.399
o_proj,40,140.895
o_proj,44,142.751
o_proj,48,134.591
o_proj,52,146.463
o_proj,56,145.247
o_proj,60,145.983
o_proj,64,140.991
o_proj,80,147.775
o_proj,96,142.911
o_proj,112,147.711
o_proj,128,148.157
o_proj,144,189.247
o_proj,160,190.367
o_proj,176,165.471
o_proj,192,172.031
o_proj,208,154.623
o_proj,224,156.415
o_proj,240,165.854
o_proj,256,167.103
qk_norm,1,7.152
qk_norm,2,7.76
qk_norm,3,7.4565
qk_norm,4,7.6325
