layer,tokens,time_us
act_fn,1,15.6373
act_fn,2,14.965
act_fn,3,15.392
act_fn,4,15.584
act_fn,5,15.9993
act_fn,6,15.6693
act_fn,7,15.5523
act_fn,8,15.968
act_fn,9,15.8183
act_fn,10,15.8933
act_fn,11,15.8827
act_fn,12,15.9247
act_fn,13,15.9253
act_fn,14,16
act_fn,15,16.0747
act_fn,16,16.0853
act_fn,20,16.1707
act_fn,24,16.032
act_fn,28,16.5547
act_fn,32,17.5783
act_fn,36,17.9517
act_fn,40,18.496
act_fn,44,18.805
act_fn,48,19.488
act_fn,52,19.1893
act_fn,56,20.298
act_fn,60,21.376
act_fn,64,21.6853
act_fn,80,24.9063
act_fn,96,34.197
act_fn,112,36.053
act_fn,128,39.253
act_fn,144,42.0267
act_fn,160,45.3863
act_fn,176,54.5913
act_fn,192,57.855
act_fn,208,58.0157
act_fn,224,63.6577
act_fn,240,67.957
act_fn,256,69.077
act_fn,272,70.3677
act_fn,288,73.5563
act_fn,304,77.0343
act_fn,320,81.9303
act_fn,336,87.584
act_fn,352,89.941
act_fn,368,93.9303
act_fn,384,95.221
act_fn,400,101.28
act_fn,416,104.554
act_fn,432,109.172
act_fn,448,110.57
act_fn,464,114.954
act_fn,480,118.975
act_fn,496,124.298
act_fn,512,128.437
act_fn,528,128.511
act_fn,544,121.738
act_fn,560,124.223
act_fn,576,126.634
act_fn,592,128.447
act_fn,608,132.276
act_fn,624,135.146
act_fn,640,137.631
act_fn,656,143.252
act_fn,672,145.919
act_fn,688,149.3
act_fn,704,149.652
act_fn,720,154.186
act_fn,736,156.191
act_fn,752,159.423
act_fn,768,164.404
act_fn,784,163.711
act_fn,800,168.457
act_fn,816,172.458
act_fn,832,173.876
act_fn,848,178.9
act_fn,864,179.402
act_fn,880,183.967
act_fn,896,186.815
act_fn,912,191.583
act_fn,928,196.276
act_fn,944,197.887
act_fn,960,201.417
act_fn,976,203.732
act_fn,992,208.02
act_fn,1008,211.785
act_fn,1024,214.281
act_fn,1040,215.795
act_fn,1056,218.036
act_fn,1072,223.551
act_fn,1088,225.353
act_fn,1104,227.316
act_fn,1120,231.177
act_fn,1136,233.844
act_fn,1152,238.622
act_fn,1168,243.391
act_fn,1184,246.559
act_fn,1200,248.051
act_fn,1216,252.169
act_fn,1232,255.668
act_fn,1248,258.985
act_fn,1264,262.772
act_fn,1280,265.033
act_fn,1296,266.409
act_fn,1312,270.814
act_fn,1328,275.038
act_fn,1344,277.14
act_fn,1360,279.262
act_fn,1376,283.55
act_fn,1392,285.086
act_fn,1408,288.276
act_fn,1424,293.523
act_fn,1440,295.817
act_fn,1456,298.931
act_fn,1472,302.633
act_fn,1488,306.985
act_fn,1504,309.822
act_fn,1520,312.702
act_fn,1536,316.841
act_fn,1552,316.137
act_fn,1568,320.254
act_fn,1584,323.23
act_fn,1600,325.161
act_fn,1616,330.739
act_fn,1632,333.929
act_fn,1648,337.139
act_fn,1664,338.547
act_fn,1680,344.051
act_fn,1696,348.393
act_fn,1712,354.035
act_fn,1728,356.585
act_fn,1744,358.419
act_fn,1760,359.561
act_fn,1776,363.699
act_fn,1792,367.198
act_fn,1808,368.531
act_fn,1824,370.696
act_fn,1840,374.963
act_fn,1856,378.269
act_fn,1872,388.787
act_fn,1888,383.358
act_fn,1904,389.747
act_fn,1920,388.979
act_fn,1936,393.982
act_fn,1952,398.504
act_fn,1968,403.251
act_fn,1984,406.365
act_fn,2000,410.088
act_fn,2016,411.592
act_fn,2032,413.214
act_fn,2048,421.064
down_proj,1,434.301
down_proj,2,583.335
down_proj,3,583.761
down_proj,4,580.626
down_proj,5,581.02
down_proj,6,585.809
down_proj,7,589.362
down_proj,8,587.132
down_proj,9,593.639
down_proj,10,585.649
down_proj,11,597.052
down_proj,12,611.164
down_proj,13,598.065
down_proj,14,611.335
down_proj,15,618.737
down_proj,16,613.927
down_proj,20,639.228
down_proj,24,647.377
down_proj,28,654.801
down_proj,32,653.553
down_proj,36,1106.33
down_proj,40,1109.65
down_proj,44,1111
down_proj,48,1115.93
down_proj,52,1117.12
down_proj,56,1122.4
down_proj,60,1127.42
down_proj,64,1130.84
down_proj,80,1652.93
down_proj,96,1048.87
down_proj,112,1104.52
down_proj,128,1123.5
down_proj,144,1390.71
down_proj,160,1344.81
down_proj,176,1456.68
down_proj,192,1284.87
down_proj,208,1499.86
down_proj,224,1228.76
down_proj,240,1234.37
down_proj,256,1250.09
down_proj,272,1756.56
down_proj,288,1751.68
down_proj,304,1758.08
down_proj,320,1756.64
down_proj,336,1769.15
down_proj,352,1768.93
down_proj,368,1769.94
down_proj,384,1781.86
down_proj,400,2344.81
down_proj,416,2350.41
down_proj,432,2358.2
down_proj,448,2257.37
down_proj,464,2292.51
down_proj,480,2283.86
down_proj,496,2257.53
down_proj,512,2261.84
down_proj,528,2876.13
down_proj,544,2621.01
down_proj,560,2623.85
down_proj,576,2622.19
down_proj,592,2556.93
down_proj,608,2565.54
down_proj,624,2497.98
down_proj,640,2450.37
down_proj,656,2804.49
down_proj,672,2628.36
down_proj,688,2627.78
down_proj,704,2512.54
down_proj,720,2498.22
down_proj,736,2531.88
down_proj,752,2572.83
down_proj,768,2637.68
down_proj,784,2842.24
down_proj,800,3039.32
down_proj,816,3086.59
down_proj,832,3027.45
down_proj,848,2868.09
down_proj,864,2994.42
down_proj,880,2946.78
down_proj,896,2778.31
down_proj,912,3152.89
down_proj,928,3227.4
down_proj,944,3370.45
down_proj,960,3181.63
down_proj,976,3206.47
down_proj,992,3117.38
down_proj,1008,3422.49
down_proj,1024,3231.06
down_proj,1040,3911.89
down_proj,1056,3846.07
down_proj,1072,3662.44
down_proj,1088,3925.37
down_proj,1104,3775.39
down_proj,1120,3952.91
down_proj,1136,4003.19
down_proj,1152,3766.37
down_proj,1168,4241.27
down_proj,1184,4332.77
down_proj,1200,4189.17
down_proj,1216,4237.21
down_proj,1232,4346.35
down_proj,1248,4379.49
down_proj,1264,4386.03
down_proj,1280,4219.8
down_proj,1296,4813.13
down_proj,1312,4948.79
down_proj,1328,4947.75
down_proj,1344,4965.01
down_proj,1360,4934.99
down_proj,1376,4941.67
down_proj,1392,4828.94
down_proj,1408,4675.84
down_proj,1424,5034.24
down_proj,1440,5000.78
down_proj,1456,5148.64
down_proj,1472,4951.49
down_proj,1488,5102.22
down_proj,1504,5172.14
down_proj,1520,5151.24
down_proj,1536,5337.56
down_proj,1552,5521.86
down_proj,1568,5780.27
down_proj,1584,5694.03
down_proj,1600,5581.75
down_proj,1616,5692.76
down_proj,1632,5738.63
down_proj,1648,5702.18
down_proj,1664,5621.12
down_proj,1680,6087.64
down_proj,1696,6175.43
down_proj,1712,6357.5
down_proj,1728,6315.67
down_proj,1744,6203.01
down_proj,1760,6062.33
down_proj,1776,6087.33
down_proj,1792,6218.6
down_proj,1808,6507.62
down_proj,1824,6429.84
down_proj,1840,6609.39
down_proj,1856,6583.86
down_proj,1872,6583.03
down_proj,1888,6553.05
down_proj,1904,6793.75
down_proj,1920,6330.98
down_proj,1936,6821.85
down_proj,1952,6725.87
down_proj,1968,6969.72
down_proj,1984,7278.18
down_proj,2000,7124.98
down_proj,2016,6587.03
down_proj,2032,6822.89
down_proj,2048,7031.26
embedding,1,8.46967
embedding,2,8.746
embedding,3,9.42933
embedding,4,9.52533
embedding,5,10.4533
embedding,6,10.752
embedding,7,11.52
embedding,8,11.7757
embedding,9,12.5973
embedding,10,13.184
embedding,11,13.5677
embedding,12,14.347
embedding,13,15.2743
embedding,14,15.872
embedding,15,16.1707
embedding,16,15.8933
embedding,20,7.072
embedding,24,6.93333
embedding,28,7.24233
embedding,32,7.178
embedding,36,7.744
embedding,40,7.445
embedding,44,7.904
embedding,48,7.712
embedding,52,7.90433
embedding,56,8.01067
embedding,60,8.192
embedding,64,10.1017
embedding,80,8.8
embedding,96,9.31167
embedding,112,11.328
embedding,128,11.595
embedding,144,10.528
embedding,160,10.5923
embedding,176,10.6987
embedding,192,10.9867
embedding,208,11.104
embedding,224,11.521
embedding,240,12.3517
embedding,256,12.416
embedding,272,12.373
embedding,288,12.8853
embedding,304,13.0777
embedding,320,13.2477
embedding,336,13.557
embedding,352,13.8873
embedding,368,14.379
embedding,384,17.045
embedding,400,14.304
embedding,416,14.3787
embedding,432,14.4213
embedding,448,14.506
embedding,464,14.8907
embedding,480,15.4557
embedding,496,15.3067
embedding,512,17.8663
embedding,528,18.8057
embedding,544,14.998
embedding,560,15.2323
embedding,576,15.616
embedding,592,15.147
embedding,608,15.6053
embedding,624,15.2747
embedding,640,15.4133
embedding,656,19.275
embedding,672,14.88
embedding,688,17.8887
embedding,704,15.4247
embedding,720,15.7013
embedding,736,17.0557
embedding,752,15.381
embedding,768,16.4587
embedding,784,15.0933
embedding,800,15.8613
embedding,816,16.3303
embedding,832,18.1653
embedding,848,15.68
embedding,864,16.6933
embedding,880,16.725
embedding,896,16.4373
embedding,912,16.0317
embedding,928,16.8213
embedding,944,17.2903
embedding,960,17.12
embedding,976,17.728
embedding,992,17.013
embedding,1008,18.602
embedding,1024,19.5733
embedding,1040,19.4877
embedding,1056,18.9867
embedding,1072,18.784
embedding,1088,20.1277
embedding,1104,19.7333
embedding,1120,20.661
embedding,1136,20.8003
embedding,1152,20.1817
embedding,1168,20.7247
embedding,1184,21.365
embedding,1200,21.5463
embedding,1216,25.1407
embedding,1232,22.1337
embedding,1248,25.5993
embedding,1264,22.325
embedding,1280,26.1543
embedding,1296,21.8667
embedding,1312,22.7087
embedding,1328,23.3273
embedding,1344,23.211
embedding,1360,23.3917
embedding,1376,27.6477
embedding,1392,23.2633
embedding,1408,22.9013
embedding,1424,23.6033
embedding,1440,23.936
embedding,1456,24.4267
embedding,1472,24.1923
embedding,1488,24.5867
embedding,1504,25.3973
embedding,1520,25.2793
embedding,1536,26.0903
embedding,1552,25.6107
embedding,1568,25.9837
embedding,1584,26.3257
embedding,1600,26.4533
embedding,1616,26.816
embedding,1632,26.3573
embedding,1648,27.178
embedding,1664,30.2187
embedding,1680,27.3383
embedding,1696,30.7617
embedding,1712,28.768
embedding,1728,28.5863
embedding,1744,28.7573
embedding,1760,28.7887
embedding,1776,29.012
embedding,1792,29.2263
embedding,1808,31.4557
embedding,1824,29.45
embedding,1840,29.6637
embedding,1856,29.8233
embedding,1872,35.5627
embedding,1888,30.4423
embedding,1904,30.88
embedding,1920,30.6027
embedding,1936,30.5597
embedding,1952,31.093
embedding,1968,33.1623
embedding,1984,31.541
embedding,2000,32.0857
embedding,2016,31.3067
embedding,2032,32.2127
embedding,2048,32.331
final_layernorm,1,7.22167
final_layernorm,2,7.616
final_layernorm,3,7.54133
final_layernorm,4,7.66933
final_layernorm,5,7.466
final_layernorm,6,7.67967
final_layernorm,7,7.488
final_layernorm,8,7.44533
final_layernorm,9,7.552
final_layernorm,10,7.86133
final_layernorm,11,7.57333
final_layernorm,12,7.74367
final_layernorm,13,7.541
final_layernorm,14,7.57267
final_layernorm,15,7.75467
final_layernorm,16,7.62667
final_layernorm,20,7.76533
final_layernorm,24,7.92533
final_layernorm,28,7.87233
final_layernorm,32,8.12767
final_layernorm,36,8.05367
final_layernorm,40,8.117
final_layernorm,44,8.373
final_layernorm,48,8.437
final_layernorm,52,8.416
