layer,sequences,time_us
lm_head,1,2734.55
lm_head,2,3041.82
lm_head,3,3058.38
lm_head,4,3100.64
lm_head,5,3112.87
lm_head,6,3132.56
lm_head,7,3147.8
lm_head,8,3159.31
lm_head,9,3194.84
lm_head,10,3212.58
lm_head,11,3227.17
lm_head,12,3250.27
lm_head,13,3282.92
lm_head,14,3229.29
lm_head,15,3250.5
lm_head,16,3261.86
lm_head,20,3602.22
lm_head,24,3659.68
lm_head,28,3726.33
lm_head,32,3789.58
lm_head,36,6281.66
lm_head,40,6352.48
lm_head,44,6502.74
lm_head,48,6658.61
lm_head,52,6390.42
lm_head,56,6420.55
lm_head,60,6443.67
lm_head,64,6471.13
lm_head,80,9546.21
lm_head,96,7460.56
lm_head,112,7544.67
lm_head,128,7468.53
lm_head,144,7660.43
lm_head,160,7699.74
lm_head,176,7786.02
lm_head,192,7858.07
lm_head,208,7538.14
lm_head,224,7541.72
lm_head,240,7598.3
lm_head,256,7657.88
sampler,1,27.8827
sampler,2,33.1193
sampler,3,34.5493
sampler,4,34.9757
sampler,5,39.711
sampler,6,43.0503
sampler,7,43.9563
sampler,8,47.723
sampler,9,53.5783
sampler,10,56.5643
sampler,11,59.2737
sampler,12,62.784
sampler,13,70.0477
sampler,14,71.754
sampler,15,73.546
sampler,16,76.0743
sampler,20,91.787
sampler,24,108.01
sampler,28,120.489
sampler,32,126.441
sampler,36,140.682
sampler,40,147.157
sampler,44,167.124
sampler,48,176.522
sampler,52,186.592
sampler,56,205.012
sampler,60,212.553
sampler,64,214.922
sampler,80,257.14
sampler,96,319.965
sampler,112,368.392
sampler,128,409.693
sampler,144,455.112
sampler,160,481.821
sampler,176,564.594
sampler,192,602.237
sampler,208,637.937
sampler,224,682.79
sampler,240,709.552
sampler,256,756.497
