prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,20.864
0,0,1,32,21.344
0,0,1,64,21.312
0,0,1,128,22.11
0,0,1,256,31.806
0,0,2,16,21.216
0,0,2,32,21.696
0,0,2,64,23.488
0,0,2,128,36.191
0,0,2,256,49.696
0,0,4,16,21.183
0,0,4,32,25.92
0,0,4,64,37.472
0,0,4,128,50.303
0,0,4,256,77.503
0,0,8,16,34.815
0,0,8,32,40.607
0,0,8,64,54.752
0,0,8,128,83.167
0,0,8,256,135.806
0,0,16,16,48.127
0,0,16,32,80.671
0,0,16,64,112.735
0,0,16,128,175.902
0,0,16,256,300.221
0,0,32,16,74.271
0,0,32,32,130.335
0,0,32,64,189.375
0,0,32,128,332.798
0,0,32,256,531.099
16,0,0,0,24.288
16,0,1,16,24.863
16,0,1,32,32.128
16,0,1,64,41.888
16,0,1,128,61.088
16,0,1,256,98.975
16,0,2,16,24.128
16,0,2,32,32.64
16,0,2,64,41.376
16,0,2,128,61.119
16,0,2,256,98.239
16,0,4,16,26.208
16,0,4,32,41.535
16,0,4,64,57.248
16,0,4,128,88.704
16,0,4,256,150.59
16,0,8,16,29.088
16,0,8,32,45.12
16,0,8,64,64.543
16,0,8,128,94.591
16,0,8,256,159.102
16,0,16,16,48.191
16,0,16,32,79.68
16,0,16,64,112.513
16,0,16,128,177.247
16,0,16,256,301.214
16,16,0,0,23.936
16,16,1,16,24.192
16,16,1,32,31.711
16,16,1,64,42.08
16,16,1,128,61.088
16,16,1,256,98.495
16,16,2,16,24.415
16,16,2,32,32.576
16,16,2,64,41.92
16,16,2,128,60.672
16,16,2,256,99.199
16,16,4,16,25.536
16,16,4,32,41.856
16,16,4,64,58.015
16,16,4,128,89.152
16,16,4,256,152.959
16,16,8,16,29.281
16,16,8,32,45.728
16,16,8,64,63.936
16,16,8,128,95.583
16,16,8,256,159.039
16,16,16,16,48.096
16,16,16,32,79.358
16,16,16,64,112.735
16,16,16,128,175.199
16,16,16,256,301.309
16,32,0,0,32.352
16,32,1,16,32.512
16,32,1,32,32.32
16,32,1,64,41.888
16,32,1,128,61.503
16,32,1,256,98.784
16,32,2,16,32.064
16,32,2,32,32.992
16,32,2,64,42.623
16,32,2,128,61.248
16,32,2,256,99.424
