layer,tokens,time_us
embedding,1,8.032
embedding,2,10.432
embedding,3,5.728
embedding,4,6.144
embedding,5,6.111
embedding,6,6.496
embedding,7,6.944
embedding,8,6.848
embedding,9,7.84
embedding,10,8.032
embedding,11,8.543
embedding,12,8.256
embedding,13,8.927
embedding,14,9.28
embedding,15,9.216
embedding,16,9.439
embedding,20,4.352
embedding,24,4.928
embedding,28,4.8
embedding,32,4.8
embedding,36,5.184
embedding,40,4.607
embedding,44,4.672
embedding,48,4.576
embedding,52,4.737
embedding,56,4.672
embedding,60,4.831
embedding,64,4.768
embedding,80,5.44
embedding,96,5.055
embedding,112,5.664
embedding,128,5.153
embedding,144,5.408
embedding,160,5.408
embedding,176,5.536
embedding,192,5.44
embedding,208,6.08
embedding,224,5.664
embedding,240,5.76
embedding,256,6.144
final_layernorm,1,6.145
final_layernorm,2,7.841
final_layernorm,3,4
final_layernorm,4,3.904
final_layernorm,5,3.936
final_layernorm,6,3.84
final_layernorm,7,4.064
final_layernorm,8,3.712
final_layernorm,9,3.84
final_layernorm,10,3.968
final_layernorm,11,3.904
final_layernorm,12,4
final_layernorm,13,4.191
final_layernorm,14,4.032
final_layernorm,15,4.384
final_layernorm,16,4.352
final_layernorm,20,4.256
final_layernorm,24,4.064
final_layernorm,28,4.543
final_layernorm,32,4.48
final_layernorm,36,4.64
final_layernorm,40,4.768
final_layernorm,44,4.448
final_layernorm,48,5.28
final_layernorm,52,4.576
final_layernorm,56,4.928
final_layernorm,60,5.312
final_layernorm,64,5.152
final_layernorm,80,5.728
final_layernorm,96,5.824
final_layernorm,112,5.92
final_layernorm,128,6.944
final_layernorm,144,6.4
final_layernorm,160,6.976
final_layernorm,176,8.16
final_layernorm,192,8.032
final_layernorm,208,9.44
final_layernorm,224,8.352
final_layernorm,240,8.672
final_layernorm,256,8.161
layernorm,1,6.2875
layernorm,2,7.616
layernorm,3,4.208
layernorm,4,4.336
layernorm,5,4.592
layernorm,6,4.3195
layernorm,7,4.144
layernorm,8,4.352
layernorm,9,4.256
layernorm,10,4.032
layernorm,11,4.144
layernorm,12,4.224
layernorm,13,4.272
layernorm,14,4.5275
layernorm,15,4.144
layernorm,16,4.064
layernorm,20,3.952
layernorm,24,4.144
layernorm,28,4.3045
layernorm,32,4.272
layernorm,36,4.5765
layernorm,40,4.496
layernorm,44,4.9915
layernorm,48,5.0405
layernorm,52,4.6875
layernorm,56,5.008
layernorm,60,4.832
layernorm,64,4.864
layernorm,80,5.296
layernorm,96,5.3595
layernorm,112,5.12
layernorm,128,5.6
layernorm,144,5.44
layernorm,160,5.824
layernorm,176,6.576
layernorm,192,6.896
layernorm,208,7.088
layernorm,224,6.752
layernorm,240,7.1685
layernorm,256,6.64
o_proj,1,23.488
o_proj,2,46.496
o_proj,3,23.808
o_proj,4,24.097
o_proj,5,24.704
o_proj,6,24.096
o_proj,7,24.992
o_proj,8,24.223
o_proj,9,24.255
o_proj,10,24.703
o_proj,11,24.64
o_proj,12,24.672
o_proj,13,25.312
o_proj,14,25.535
o_proj,15,25.409
o_proj,16,24.96
o_proj,20,26.848
o_proj,24,26.976
o_proj,28,26.976
o_proj,32,28.159
o_proj,36,29.12
o_proj,40,32.352
o_proj,44,32.415
o_proj,48,32.447
o_proj,52,32.256
o_proj,56,33.216
o_proj,60,32.8
o_proj,64,32.255
o_proj,80,41.056
o_proj,96,45.151
o_proj,112,46.56
o_proj,128,49.599
o_proj,144,59.551
o_proj,160,60.352
o_proj,176,49.312
o_proj,192,50.048
o_proj,208,54.495
o_proj,224,56.255
o_proj,240,56.191
o_proj,256,59.423
qkv_proj,1,75.168
qkv_proj,2,88.256
qkv_proj,3,47.519
qkv_proj,4,51.744
qkv_proj,5,52.191
qkv_proj,6,54.015
qkv_proj,7,52.896
qkv_proj,8,52.256
qkv_proj,9,52.768
qkv_proj,10,52.959
qkv_proj,11,52.192
qkv_proj,12,47.552
qkv_proj,13,55.168
qkv_proj,14,48.8
qkv_proj,15,48.959
qkv_proj,16,53.28
qkv_proj,20,50.272
qkv_proj,24,50.176
qkv_proj,28,50.176
qkv_proj,32,51.295
qkv_proj,36,70.399
qkv_proj,40,71.007
qkv_proj,44,72.191
qkv_proj,48,71.135
qkv_proj,52,73.216
qkv_proj,56,72.447
qkv_proj,60,71.904
qkv_proj,64,72.959
qkv_proj,80,93.023
qkv_proj,96,91.071
qkv_proj,112,94.304
qkv_proj,128,96.415
qkv_proj,144,92.223
qkv_proj,160,90.048
qkv_proj,176,94.24
qkv_proj,192,92.832
qkv_proj,208,132.895
qkv_proj,224,129.791
qkv_proj,240,131.103
qkv_proj,256,131.903
rotary_emb,1,6.912
rotary_emb,2,11.104
rotary_emb,3,4.8
rotary_emb,4,4.608
rotary_emb,5,4.736
rotary_emb,6,4.895
rotary_emb,7,4.576
rotary_emb,8,4.768
rotary_emb,9,4.736
rotary_emb,10,4.64
rotary_emb,11,4.799
rotary_emb,12,4.576
rotary_emb,13,4.544
rotary_emb,14,4.576
rotary_emb,15,4.48
rotary_emb,16,4.64
rotary_emb,20,4.64
rotary_emb,24,4.736
rotary_emb,28,4.832
rotary_emb,32,4.896
rotary_emb,36,5.44
rotary_emb,40,5.599
rotary_emb,44,6.143
rotary_emb,48,5.472
rotary_emb,52,5.76
rotary_emb,56,5.28
rotary_emb,60,5.407
rotary_emb,64,5.92
rotary_emb,80,4.96
rotary_emb,96,5.44
rotary_emb,112,5.504
rotary_emb,128,5.728
rotary_emb,144,5.632
rotary_emb,160,5.792
rotary_emb,176,6.689
rotary_emb,192,6.464
rotary_emb,208,6.977
rotary_emb,224,7.808
rotary_emb,240,8.64
rotary_emb,256,8.896
