layer,sequences,time_us
lm_head,1,857.081
lm_head,2,865.657
lm_head,3,871.002
lm_head,4,872.409
lm_head,5,875.161
lm_head,6,875.513
lm_head,7,883.697
lm_head,8,887.544
lm_head,9,892.281
lm_head,10,892.216
lm_head,11,957.912
lm_head,12,964.535
lm_head,13,969.88
lm_head,14,973.849
lm_head,15,972.856
lm_head,16,981.848
lm_head,20,923.161
lm_head,24,935.8
lm_head,28,940.761
lm_head,32,954.137
sampler,1,25.504
sampler,2,26.496
sampler,3,26.559
sampler,4,27.71
sampler,5,30.912
sampler,6,32.864
sampler,7,34.335
sampler,8,35.647
sampler,9,39.135
sampler,10,42.399
sampler,11,44.512
sampler,12,48.543
sampler,13,52.35
sampler,14,55.839
sampler,15,58.016
sampler,16,59.775
sampler,20,70.752
sampler,24,85.152
sampler,28,93.855
sampler,32,100.51
