layer,tokens,time_us
embedding,1,5.62133
embedding,2,6.00533
embedding,3,6.26133
embedding,4,9.89867
embedding,5,7.008
embedding,6,7.25333
embedding,7,7.49833
embedding,8,7.808
embedding,9,8.35233
embedding,10,11.1147
embedding,11,9.152
embedding,12,9.22667
embedding,13,14.9543
embedding,14,15.4453
embedding,15,16.1383
embedding,16,16.2987
embedding,20,7.62633
embedding,24,10.453
embedding,28,7.776
embedding,32,7.53133
embedding,36,7.85067
embedding,40,6.325
embedding,44,6.144
embedding,48,5.01333
embedding,52,5.17267
embedding,56,5.25867
embedding,60,5.024
embedding,64,4.91733
embedding,80,5.024
embedding,96,5.269
embedding,112,5.65333
embedding,128,5.376
embedding,144,8.47967
embedding,160,5.50467
embedding,176,5.54667
embedding,192,5.525
embedding,208,5.62133
embedding,224,5.64233
embedding,240,5.97333
embedding,256,5.96267
embedding,272,6.11167
embedding,288,6.30367
embedding,304,6.33533
embedding,320,6.16533
embedding,336,6.42133
embedding,352,6.282
embedding,368,6.52733
embedding,384,6.70933
embedding,400,6.73067
embedding,416,6.90133
embedding,432,6.827
embedding,448,6.93333
embedding,464,6.99733
embedding,480,6.86933
embedding,496,7.23167
embedding,512,11.1677
embedding,528,7.14667
embedding,544,7.21067
embedding,560,7.21067
embedding,576,7.38133
embedding,592,10.0693
embedding,608,7.37033
embedding,624,7.413
embedding,640,10.1017
embedding,656,7.76533
embedding,672,7.86133
embedding,688,7.79733
embedding,704,7.86133
embedding,720,7.97833
embedding,736,7.94667
embedding,752,7.947
embedding,768,8.05333
embedding,784,8.04233
embedding,800,8.043
embedding,816,8.08567
embedding,832,8.09633
embedding,848,8.127
embedding,864,8.23433
embedding,880,8.21333
embedding,896,8.213
embedding,912,8.43767
embedding,928,8.40533
embedding,944,11.552
embedding,960,8.512
embedding,976,8.47967
embedding,992,8.43733
embedding,1008,8.533
embedding,1024,8.55433
embedding,1040,8.61867
embedding,1056,12.2987
embedding,1072,8.747
embedding,1088,11.808
embedding,1104,8.81067
embedding,1120,8.94933
embedding,1136,8.93867
embedding,1152,9.152
embedding,1168,9.60033
embedding,1184,9.45067
embedding,1200,9.68567
embedding,1216,9.504
embedding,1232,9.70667
embedding,1248,9.696
embedding,1264,9.85567
embedding,1280,9.739
embedding,1296,9.84533
embedding,1312,10.069
embedding,1328,10.0053
embedding,1344,10.0907
embedding,1360,10.261
embedding,1376,10.3357
embedding,1392,10.432
embedding,1408,10.496
embedding,1424,10.5597
embedding,1440,10.6877
embedding,1456,12.6073
embedding,1472,10.8267
embedding,1488,10.901
embedding,1504,10.9547
embedding,1520,11.221
embedding,1536,11.1897
embedding,1552,11.4667
embedding,1568,11.6487
embedding,1584,11.6053
embedding,1600,11.7973
embedding,1616,11.9893
embedding,1632,12.096
embedding,1648,12.075
embedding,1664,12.352
embedding,1680,12.331
embedding,1696,12.5113
embedding,1712,12.608
embedding,1728,12.6613
embedding,1744,12.917
embedding,1760,12.9277
embedding,1776,13.013
embedding,1792,13.835
embedding,1808,13.13
embedding,1824,14.016
