tokens,activated_experts,time_us
1,8,6023.51
2,8,5956.34
2,16,11474.8
4,8,6040.56
4,16,11460.3
4,32,22705.5
8,8,6000.82
8,16,11456.6
8,32,22701.5
8,64,48419
16,8,7053.96
16,16,13486.4
16,32,25978.3
16,64,48443.4
16,128,94217.8
32,8,13511.6
32,16,13447.2
32,32,25769.3
32,64,48354.2
32,128,94132.1
64,8,22232.6
64,16,22218.2
64,32,43762.4
64,64,79009.1
64,128,149415
128,8,78587.2
128,16,77737.5
128,32,148674
128,64,297897
128,128,579428
256,8,115692
256,16,115645
256,32,115493
256,64,234068
256,128,459452
