layer,sequences,time_us
lm_head,1,848.874
lm_head,2,942.886
lm_head,3,948.966
lm_head,4,955.675
lm_head,5,959.152
lm_head,6,966.074
lm_head,7,966.896
lm_head,8,970.544
lm_head,9,976.977
lm_head,10,975.537
lm_head,11,1070.12
lm_head,12,1075.46
lm_head,13,1080.03
lm_head,14,1087.71
lm_head,15,1087.46
lm_head,16,1198.69
lm_head,20,1296.87
lm_head,24,1308.19
lm_head,28,1316.99
lm_head,32,1327.98
lm_head,36,2545.37
lm_head,40,2323.39
lm_head,44,2109.19
lm_head,48,1921.64
lm_head,52,1758.5
lm_head,56,1764.3
lm_head,60,1768.99
lm_head,64,1691.61
lm_head,80,2244.39
lm_head,96,1313.84
lm_head,112,1325.79
lm_head,128,1337.86
lm_head,144,1739.53
lm_head,160,1748.51
lm_head,176,1755.32
lm_head,192,1754.66
lm_head,208,1770.77
lm_head,224,1770.87
lm_head,240,1790.81
lm_head,256,1797.65
sampler,1,27.8617
sampler,2,40.0533
sampler,3,40.3947
sampler,4,42.3787
sampler,5,48.6717
sampler,6,51.1893
sampler,7,52.8747
sampler,8,54.6027
sampler,9,61.3343
sampler,10,62.8267
sampler,11,66.122
sampler,12,68.6503
sampler,13,73.92
sampler,14,78.3573
sampler,15,81.9937
sampler,16,84.4783
sampler,20,96.8423
sampler,24,115.552
sampler,28,126.304
sampler,32,134.39
sampler,36,150.42
sampler,40,141.034
sampler,44,149.717
sampler,48,154.208
sampler,52,159.412
sampler,56,168.469
sampler,60,178.101
sampler,64,176.191
sampler,80,209.322
sampler,96,250.644
sampler,112,290.666
sampler,128,329.971
sampler,144,359.764
sampler,160,383.038
sampler,176,443.559
sampler,192,480.936
sampler,208,509.181
sampler,224,533.16
sampler,240,566.078
sampler,256,598.151
