prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,30.624
0,0,1,32,29.889
0,0,1,64,30.048
0,0,1,128,30.944
0,0,1,256,38.688
0,0,2,16,30.72
0,0,2,32,30.463
0,0,2,64,30.463
0,0,2,128,30.368
0,0,2,256,39.136
0,0,4,16,30.688
0,0,4,32,30.943
0,0,4,64,31.49
0,0,4,128,33.536
0,0,4,256,48.864
0,0,8,16,31.488
0,0,8,32,31.359
0,0,8,64,34.272
0,0,8,128,34.975
0,0,8,256,49.695
0,0,16,16,36
0,0,16,32,36.223
0,0,16,64,38.943
0,0,16,128,61.152
0,0,16,256,82.687
0,0,32,16,41.152
0,0,32,32,49.824
0,0,32,64,63.614
0,0,32,128,92.351
0,0,32,256,145.343
16,0,0,0,35.456
16,0,1,16,35.295
16,0,1,32,48.384
16,0,1,64,64.513
16,0,1,128,96.224
16,0,1,256,160.127
16,0,2,16,35.36
16,0,2,32,57.215
16,0,2,64,65.12
16,0,2,128,96.863
16,0,2,256,160.381
16,0,4,16,35.456
16,0,4,32,49.216
16,0,4,64,65.119
16,0,4,128,96.735
16,0,4,256,160.031
16,0,8,16,35.519
16,0,8,32,48.735
16,0,8,64,64.734
16,0,8,128,97.151
16,0,8,256,160.383
16,0,16,16,36.064
16,0,16,32,50.272
16,0,16,64,65.536
16,0,16,128,99.008
16,0,16,256,164.414
16,16,0,0,46.08
16,16,1,16,35.456
16,16,1,32,48.672
16,16,1,64,64.607
16,16,1,128,97.087
16,16,1,256,160.607
16,16,2,16,35.36
16,16,2,32,48.543
16,16,2,64,64.96
16,16,2,128,96.607
16,16,2,256,159.519
16,16,4,16,35.2
16,16,4,32,48.736
16,16,4,64,64.608
16,16,4,128,96.865
16,16,4,256,160.222
16,16,8,16,35.328
16,16,8,32,48.96
16,16,8,64,65.024
16,16,8,128,96.831
16,16,8,256,160.095
16,16,16,16,35.872
16,16,16,32,49.919
16,16,16,64,66.304
16,16,16,128,98.719
16,16,16,256,164.351
16,32,0,0,50.464
16,32,1,16,49.632
16,32,1,32,50.591
16,32,1,64,64.607
16,32,1,128,96.927
16,32,1,256,159.871
16,32,2,16,50.208
16,32,2,32,50.56
16,32,2,64,65.214
16,32,2,128,96.479
16,32,2,256,159.967
16,32,4,16,49.632
16,32,4,32,49.664
16,32,4,64,64.768
16,32,4,128,96.735
16,32,4,256,160.703
16,32,8,16,49.696
16,32,8,32,49.855
16,32,8,64,65.056
16,32,8,128,97.119
16,32,8,256,160.447
16,32,16,16,50.304
16,32,16,32,50.367
16,32,16,64,65.952
16,32,16,128,98.783
16,32,16,256,163.294
16,64,0,0,65.951
16,64,1,16,65.792
16,64,1,32,66.239
16,64,1,64,66.431
16,64,1,128,96.959
16,64,1,256,160.319
16,64,2,16,66.047
16,64,2,32,66.337
16,64,2,64,66.399
16,64,2,128,96.639
16,64,2,256,161.407
16,64,4,16,66.303
16,64,4,32,66.273
16,64,4,64,65.983
16,64,4,128,97.535
16,64,4,256,160.511
16,64,8,16,66.207
16,64,8,32,66.047
16,64,8,64,66.208
16,64,8,128,97.183
16,64,8,256,160.575
16,64,16,16,66.24
16,64,16,32,66.559
16,64,16,64,66.815
16,64,16,128,99.071
16,64,16,256,163.871
16,128,0,0,97.953
16,128,1,16,98.495
16,128,1,32,98.687
16,128,1,64,98.368
16,128,1,128,98.463
16,128,1,256,160.702
16,128,2,16,98.943
16,128,2,32,98.431
16,128,2,64,98.079
16,128,2,128,99.295
16,128,2,256,160.254
16,128,4,16,98.175
16,128,4,32,98.399
16,128,4,64,98.015
16,128,4,128,98.847
16,128,4,256,160.031
16,128,8,16,98.719
16,128,8,32,98.56
16,128,8,64,98.527
16,128,8,128,98.911
16,128,8,256,160.959
16,128,16,16,98.463
16,128,16,32,99.391
16,128,16,64,98.687
16,128,16,128,99.392
16,128,16,256,163.422
16,256,0,0,162.817
16,256,1,16,162.719
16,256,1,32,163.615
16,256,1,64,162.847
16,256,1,128,162.527
16,256,1,256,163.263
16,256,2,16,162.495
16,256,2,32,163.581
16,256,2,64,163.039
16,256,2,128,163.551
16,256,2,256,162.942
16,256,4,16,162.815
16,256,4,32,163.455
16,256,4,64,162.943
16,256,4,128,163.039
16,256,4,256,162.783
16,256,8,16,162.75
16,256,8,32,163.071
16,256,8,64,163.167
16,256,8,128,163.358
16,256,8,256,163.518
16,256,16,16,163.199
16,256,16,32,163.358
16,256,16,64,163.551
16,256,16,128,163.743
16,256,16,256,163.551
32,0,0,0,35.36
32,0,1,16,35.167
32,0,1,32,48.895
32,0,1,64,64.191
32,0,1,128,96.831
32,0,1,256,159.743
32,0,2,16,35.424
32,0,2,32,48.959
32,0,2,64,64.639
32,0,2,128,97.024
32,0,2,256,159.646
32,0,4,16,35.136
32,0,4,32,49.792
32,0,4,64,65.855
32,0,4,128,98.879
32,0,4,256,164.383
32,0,8,16,35.327
32,0,8,32,49.119
32,0,8,64,65.504
32,0,8,128,97.919
32,0,8,256,162.879
32,0,16,16,38.912
32,0,16,32,55.007
32,0,16,64,68.862
32,0,16,128,101.311
32,0,16,256,163.422
32,16,0,0,49.344
32,16,1,16,49.247
32,16,1,32,49.952
32,16,1,64,64.479
32,16,1,128,96.671
32,16,1,256,159.647
32,16,2,16,49.344
32,16,2,32,50.176
32,16,2,64,64.575
32,16,2,128,96.639
32,16,2,256,159.742
32,16,4,16,49.471
32,16,4,32,49.632
32,16,4,64,65.728
32,16,4,128,98.72
32,16,4,256,163.999
32,16,8,16,50.304
32,16,8,32,50.432
32,16,8,64,65.216
32,16,8,128,97.76
32,16,8,256,162.975
32,16,16,16,50.047
32,16,16,32,52.735
32,16,16,64,68.64
32,16,16,128,100.8
32,16,16,256,164.99
32,32,0,0,51.007
32,32,1,16,49.792
32,32,1,32,50.368
32,32,1,64,65.567
32,32,1,128,97.023
32,32,1,256,160.831
32,32,2,16,50.144
32,32,2,32,49.855
32,32,2,64,65.536
32,32,2,128,96.575
32,32,2,256,160.415
32,32,4,16,50.368
32,32,4,32,50.688
32,32,4,64,65.183
32,32,4,128,98.239
32,32,4,256,163.391
32,32,8,16,50.239
32,32,8,32,50.719
32,32,8,64,65.856
32,32,8,128,98.079
32,32,8,256,162.239
32,32,16,16,52.832
32,32,16,32,66.848
32,32,16,64,81.663
32,32,16,128,114.591
32,32,16,256,173.503
32,64,0,0,67.199
32,64,1,16,66.175
32,64,1,32,66.144
32,64,1,64,66.272
32,64,1,128,96.864
32,64,1,256,160.351
32,64,2,16,67.008
32,64,2,32,66.495
32,64,2,64,66.528
32,64,2,128,96.351
32,64,2,256,160.51
32,64,4,16,66.783
32,64,4,32,66.463
32,64,4,64,66.176
32,64,4,128,98.143
32,64,4,256,163.486
32,64,8,16,66.496
32,64,8,32,66.655
32,64,8,64,66.912
32,64,8,128,97.984
32,64,8,256,162.495
32,64,16,16,68.063
32,64,16,32,78.433
32,64,16,64,95.807
32,64,16,128,120.927
32,64,16,256,182.815
32,128,0,0,99.166
32,128,1,16,97.983
32,128,1,32,98.464
32,128,1,64,99.392
32,128,1,128,98.687
32,128,1,256,160.127
32,128,2,16,98.399
32,128,2,32,99.039
32,128,2,64,99.167
32,128,2,128,99.327
32,128,2,256,160.638
32,128,4,16,98.495
32,128,4,32,98.719
32,128,4,64,99.103
32,128,4,128,99.231
32,128,4,256,163.007
32,128,8,16,98.335
32,128,8,32,99.359
32,128,8,64,98.88
32,128,8,128,99.232
32,128,8,256,162.75
32,128,16,16,100.927
32,128,16,32,110.335
32,128,16,64,121.087
32,128,16,128,147.615
32,128,16,256,206.046
32,256,0,0,163.934
32,256,1,16,163.135
32,256,1,32,163.455
32,256,1,64,163.359
32,256,1,128,163.327
32,256,1,256,163.39
32,256,2,16,162.91
32,256,2,32,163.839
32,256,2,64,163.231
32,256,2,128,163.519
32,256,2,256,163.614
32,256,4,16,163.039
32,256,4,32,163.551
32,256,4,64,163.103
32,256,4,128,163.839
32,256,4,256,163.582
