tokens,activated_experts,time_us,gating_ms,expert_ms
1,2,5233.24,0.1029,6.1674
2,2,5257.7,0.0995,6.1215
2,4,8343.87,0.1177,9.2508
4,2,5266.19,0.0998,6.1353
4,4,8346.57,0.1003,9.1301
4,8,13751.3,0.093,14.5519
8,2,5300.69,0.0885,6.168
8,4,8379.86,0.1027,9.1681
8,8,13839.3,0.0944,14.6882
8,16,26775.9,0.0991,27.7461
16,2,5291.29,0.0999,6.0948
16,4,8367.55,0.1117,9.2191
16,8,13724.7,0.1309,14.5203
16,16,26639.4,0.0915,27.4605
16,32,50985.9,0.0866,54.5329
32,2,8378.64,0.0909,9.1975
32,4,8381.25,0.0952,9.2242
32,8,13754.7,0.1049,14.574
32,16,26705.1,0.0994,27.5964
32,32,50700.7,0.0872,51.4561
64,2,13390.3,0.0814,14.3485
64,4,13426.6,0.0979,14.3869
64,8,22438.9,0.0836,23.2973
64,16,43998.2,0.0922,44.8117
64,32,86102.6,0.1038,86.9226
128,2,55469,0.0801,56.3523
128,4,55418.7,0.0879,56.2606
128,8,101821,0.1326,102.685
128,16,184716,0.1127,185.56
128,32,361175,0.0929,362.322
256,2,64216,0.0947,65.1286
256,4,64134.5,0.1162,64.9032
256,8,64057.9,0.1016,65.1367
256,16,125173,0.0895,126.025
256,32,246442,0.0863,248.224
512,2,124903,0.0444,125.756
512,4,125333,0.0377,126.134
512,8,125419,0.0365,126.069
512,16,125366,0.0391,126.017
512,32,246477,0.0585,247.357
1024,2,305544,0.0039,305.524
1024,4,305249,0.0039,305.23
1024,8,304939,0.0039,307.265
1024,16,305291,0.0039,305.271
1024,32,598620,0.0039,598.6
2048,2,599609,0.0072,599.517
2048,4,599430,0.0076,599.341
2048,8,599590,0.0058,599.505
2048,16,599214,0.0039,599.126
2048,32,599328,0.0039,599.238
4096,2,1.17599e+06,0.0039,1175.88
4096,4,682534,0.004,682.476
4096,8,568697,0.0027,568.666
4096,16,569045,0.0027,569.013
4096,32,568703,0.0028,568.671
