prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,28.8107
0,0,1,32,28.927
0,0,1,64,28.415
0,0,1,128,28.4583
0,0,1,256,36.82
0,0,1,512,45.9083
0,0,1,1024,63.0823
0,0,1,2048,96.949
0,0,1,4096,165.524
0,0,1,8192,305.138
0,0,2,16,26.751
0,0,2,32,27.423
0,0,2,64,26.8903
0,0,2,128,27.573
0,0,2,256,35.797
0,0,2,512,61.269
0,0,2,1024,90.8577
0,0,2,2048,148.895
0,0,2,4096,265.085
0,0,2,8192,496.699
0,0,4,16,26.3463
0,0,4,32,29.3653
0,0,4,64,31.5833
0,0,4,128,40.0207
0,0,4,256,53.9723
0,0,4,512,83.69
0,0,4,1024,127.477
0,0,4,2048,210.132
0,0,4,4096,389.99
0,0,4,8192,893.494
0,0,8,16,28.4267
0,0,8,32,33.1627
0,0,8,64,41.2897
0,0,8,128,56.3837
0,0,8,256,81.1297
0,0,8,512,129.865
0,0,8,1024,237.608
0,0,8,2048,403.409
0,0,8,4096,750.765
0,0,8,8192,1664.85
0,0,16,16,35.328
0,0,16,32,42.3887
0,0,16,64,57.9613
0,0,16,128,83.423
0,0,16,256,129.684
0,0,16,512,220.105
0,0,16,1024,418.78
0,0,16,2048,787.491
0,0,16,4096,1476.72
0,0,16,8192,3083.35
0,0,32,16,58.2393
0,0,32,32,70.5907
0,0,32,64,95.039
0,0,32,128,145.546
0,0,32,256,235.485
0,0,32,512,422.534
0,0,32,1024,783.33
0,0,32,2048,1525.32
0,0,32,4096,2947.76
0,0,32,8192,5930.05
0,0,64,16,71.2413
0,0,64,32,127.092
0,0,64,64,178.559
0,0,64,128,287.581
0,0,64,256,502.352
0,0,64,512,929.249
0,0,64,1024,1784.63
0,0,64,2048,3500.97
0,0,64,4096,6924.81
0,0,64,8192,13768.2
0,0,128,16,114.666
0,0,128,32,208.297
0,0,128,64,315.346
0,0,128,128,559.759
0,0,128,256,898.017
0,0,128,512,1843.8
0,0,128,1024,3435.7
0,0,128,2048,6961.06
0,0,128,4096,13797.1
0,0,128,8192,27483.2
0,0,256,16,221.491
0,0,256,32,396.658
0,0,256,64,604.43
0,0,256,128,987.061
0,0,256,256,1696.43
0,0,256,512,3230.11
0,0,256,1024,6212.43
0,0,256,2048,12202.6
0,0,256,4096,24181.5
0,0,256,8192,48140.9
16,0,0,0,32.5867
16,0,1,16,29.909
16,0,1,32,39.2427
16,0,1,64,54.9327
16,0,1,128,86.549
16,0,1,256,149.79
16,0,1,512,276.051
16,0,1,1024,529.136
16,0,1,2048,1034.92
16,0,1,4096,2046.36
16,0,1,8192,4069.8
16,0,2,16,29.568
16,0,2,32,43.9357
16,0,2,64,60.1063
16,0,2,128,92.4687
16,0,2,256,157.086
16,0,2,512,286.386
16,0,2,1024,545.402
16,0,2,2048,1062.08
16,0,2,4096,2099.5
16,0,2,8192,4166.77
16,0,4,16,29.3223
16,0,4,32,43.8933
16,0,4,64,60.1383
16,0,4,128,92.629
16,0,4,256,157.555
16,0,4,512,286.408
16,0,4,1024,545.263
16,0,4,2048,1062.37
16,0,4,4096,2097.22
16,0,4,8192,4166.24
16,0,8,16,29.9303
16,0,8,32,44.7573
16,0,8,64,60.842
16,0,8,128,93.8337
16,0,8,256,159.145
16,0,8,512,289.48
16,0,8,1024,550.767
16,0,8,2048,1073.1
16,0,8,4096,2117.46
16,0,8,8192,4207.47
16,0,16,16,41.909
16,0,16,32,67.573
16,0,16,64,94.3887
16,0,16,128,148.212
16,0,16,256,256.658
16,0,16,512,471.035
16,0,16,1024,900.556
16,0,16,2048,1760.95
16,0,16,4096,3484.51
16,0,16,8192,6925.8
16,0,32,16,39.7967
16,0,32,32,69.418
16,0,32,64,96.4047
16,0,32,128,151.273
16,0,32,256,259.891
16,0,32,512,473.669
16,0,32,1024,907.927
16,0,32,2048,1770.94
16,0,32,4096,3501.03
16,0,32,8192,6943.08
16,0,64,16,71.1143
16,0,64,32,127.646
16,0,64,64,181.94
16,0,64,128,287.933
16,0,64,256,503.29
16,0,64,512,934.881
16,0,64,1024,1791.05
16,0,64,2048,3500.8
16,0,64,4096,6925.04
16,0,64,8192,13772.6
16,0,128,16,105.29
16,0,128,32,193.715
