layer,tokens,time_us
act_fn,1,7.264
act_fn,2,6.30367
act_fn,3,6.36833
act_fn,4,6.272
act_fn,5,6.29333
act_fn,6,6.272
act_fn,7,6.208
act_fn,8,6.26133
act_fn,9,6.304
act_fn,10,6.20733
act_fn,11,6.31467
act_fn,12,6.464
act_fn,13,6.18667
act_fn,14,6.48567
act_fn,15,6.16567
act_fn,16,6.32533
act_fn,20,6.89067
act_fn,24,6.74133
act_fn,28,6.80533
act_fn,32,6.87967
act_fn,36,7.42333
act_fn,40,7.24267
act_fn,44,8.96
act_fn,48,7.328
act_fn,52,7.31767
act_fn,56,7.36
act_fn,60,7.37033
act_fn,64,8.75667
act_fn,80,8.192
act_fn,96,9.09833
act_fn,112,9.09867
act_fn,128,9.95167
act_fn,144,10.4747
act_fn,160,10.485
act_fn,176,10.7947
act_fn,192,10.8797
act_fn,208,11.0187
act_fn,224,11.04
act_fn,240,11.061
act_fn,256,12.7363
act_fn,272,13.3223
act_fn,288,13.1097
act_fn,304,13.4077
act_fn,320,13.4503
act_fn,336,18.688
act_fn,352,18.8587
act_fn,368,19.178
act_fn,384,19.2107
act_fn,400,20.4373
act_fn,416,21.1197
act_fn,432,21.4183
act_fn,448,21.4933
act_fn,464,21.7383
act_fn,480,22.5703
act_fn,496,24.1057
act_fn,512,24.149
act_fn,528,25.152
act_fn,544,25.9837
act_fn,560,26.6027
act_fn,576,26.56
act_fn,592,26.7413
act_fn,608,27.5307
act_fn,624,28.1173
act_fn,640,28.917
act_fn,656,28.9277
act_fn,672,28.7143
act_fn,688,30.2507
act_fn,704,30.2613
act_fn,720,30.7627
act_fn,736,30.826
act_fn,752,30.7623
act_fn,768,31.6907
act_fn,784,32.1063
act_fn,800,33.3007
act_fn,816,33.8983
act_fn,832,34.3143
act_fn,848,34.933
act_fn,864,36.1697
act_fn,880,36.672
act_fn,896,36.9917
act_fn,912,36.682
act_fn,928,37.3967
act_fn,944,37.952
act_fn,960,38.8157
act_fn,976,38.997
act_fn,992,39.68
act_fn,1008,40.4263
act_fn,1024,40.191
act_fn,1040,41.8453
act_fn,1056,42.186
act_fn,1072,41.5037
act_fn,1088,42.218
act_fn,1104,43.1467
act_fn,1120,44.2873
act_fn,1136,43.6263
act_fn,1152,43.9883
act_fn,1168,44.64
act_fn,1184,45.258
act_fn,1200,46.1543
act_fn,1216,45.9617
act_fn,1232,46.986
act_fn,1248,47.925
act_fn,1264,48.7563
act_fn,1280,48.2877
act_fn,1296,49.685
act_fn,1312,49.994
act_fn,1328,50.5593
act_fn,1344,51.4447
act_fn,1360,52.832
act_fn,1376,52.2763
act_fn,1392,53.0983
act_fn,1408,53.9513
act_fn,1424,53.0553
act_fn,1440,53.482
act_fn,1456,54.0687
act_fn,1472,53.5353
act_fn,1488,54.72
act_fn,1504,54.2397
act_fn,1520,55.2207
act_fn,1536,55.797
act_fn,1552,57.2583
act_fn,1568,56.7457
act_fn,1584,57.674
act_fn,1600,57.9407
act_fn,1616,58.8793
act_fn,1632,59.647
act_fn,1648,59.818
act_fn,1664,60.277
act_fn,1680,62.2923
act_fn,1696,62.751
act_fn,1712,62.794
act_fn,1728,62.879
act_fn,1744,63.0287
act_fn,1760,64.1277
act_fn,1776,64.0843
act_fn,1792,64.9163
act_fn,1808,65.237
act_fn,1824,65.919
act_fn,1840,65.866
act_fn,1856,66.581
act_fn,1872,66.9963
act_fn,1888,67.3487
act_fn,1904,67.3913
act_fn,1920,67.7323
act_fn,1936,68.1493
act_fn,1952,68.7467
act_fn,1968,69.738
act_fn,1984,70.0153
act_fn,2000,70.698
act_fn,2016,70.5273
act_fn,2032,70.5057
act_fn,2048,71.914
down_proj,1,57.5993
down_proj,2,72.074
down_proj,3,72.0843
down_proj,4,72.949
down_proj,5,73.0977
down_proj,6,73.7593
down_proj,7,72.9913
down_proj,8,73.514
down_proj,9,73.9937
down_proj,10,74.485
down_proj,11,75.4017
down_proj,12,75.4877
down_proj,13,75.6153
down_proj,14,76.5643
down_proj,15,75.5723
down_proj,16,78.0583
down_proj,20,86.2927
down_proj,24,87.903
down_proj,28,87.967
