layer,sequences,time_us
lm_head,1,491.035
lm_head,2,486.267
lm_head,3,499.174
lm_head,4,497.264
lm_head,5,497.435
lm_head,6,497.019
lm_head,7,503.386
lm_head,8,498.864
lm_head,9,503.92
lm_head,10,462.01
lm_head,11,465.147
lm_head,12,460.561
lm_head,13,465.83
lm_head,14,465.307
lm_head,15,469.936
lm_head,16,470.917
lm_head,20,558.885
lm_head,24,573.999
lm_head,28,567.653
lm_head,32,569.979
lm_head,36,1079.79
lm_head,40,1085.25
lm_head,44,1210
lm_head,48,1242.9
lm_head,52,1111.84
lm_head,56,1116.48
lm_head,60,1119.24
lm_head,64,1121.85
lm_head,80,1652.09
lm_head,96,1664.22
lm_head,112,1098.21
lm_head,128,1102.07
lm_head,144,1458.64
lm_head,160,1478.18
lm_head,176,1397.77
lm_head,192,1301.4
lm_head,208,1303.5
lm_head,224,1307.8
lm_head,240,1312.79
lm_head,256,1370.69
sampler,1,52.6927
sampler,2,77.9617
sampler,3,78.783
sampler,4,78.1427
sampler,5,79.3057
sampler,6,81.684
sampler,7,82.7407
sampler,8,84.4687
sampler,9,86.4633
sampler,10,96.2013
sampler,11,103.648
sampler,12,106.218
sampler,13,109.481
sampler,14,112.01
sampler,15,112.895
sampler,16,115.882
sampler,20,123.668
sampler,24,130.335
sampler,28,136.714
sampler,32,144.03
sampler,36,150.346
sampler,40,155.775
sampler,44,163.519
sampler,48,170.26
sampler,52,177.364
sampler,56,182.986
sampler,60,189.385
sampler,64,196.681
sampler,80,228.98
sampler,96,276.904
sampler,112,306.024
sampler,128,336.178
sampler,144,370.099
sampler,160,403.868
sampler,176,448.615
sampler,192,477.286
sampler,208,513.478
sampler,224,545.98
sampler,240,580.688
sampler,256,628.443
