prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,21.087
0,0,1,32,21.76
0,0,1,64,21.536
0,0,1,128,21.728
0,0,1,256,25.953
0,0,2,16,21.536
0,0,2,32,21.152
0,0,2,64,21.376
0,0,2,128,21.505
0,0,2,256,26.593
0,0,4,16,21.408
0,0,4,32,21.632
0,0,4,64,21.855
0,0,4,128,26.432
0,0,4,256,34.687
0,0,8,16,21.951
0,0,8,32,22.369
0,0,8,64,26.976
0,0,8,128,36.223
0,0,8,256,53.696
0,0,16,16,25.216
0,0,16,32,28.415
0,0,16,64,37.663
0,0,16,128,52.32
0,0,16,256,79.678
0,0,32,16,38.303
0,0,32,32,44.511
0,0,32,64,59.712
0,0,32,128,89.374
0,0,32,256,141.823
16,0,0,0,24.64
16,0,1,16,23.646
16,0,1,32,32.064
16,0,1,64,41.12
16,0,1,128,60.672
16,0,1,256,98.015
16,0,2,16,24.384
16,0,2,32,31.999
16,0,2,64,41.952
16,0,2,128,59.711
16,0,2,256,96.832
16,0,4,16,24.48
16,0,4,32,32.352
16,0,4,64,42.143
16,0,4,128,60.704
16,0,4,256,98.847
16,0,8,16,24.416
16,0,8,32,32.737
16,0,8,64,43.486
16,0,8,128,62.206
16,0,8,256,99.681
16,0,16,16,24.706
16,0,16,32,40.768
16,0,16,64,58.175
16,0,16,128,88.736
16,0,16,256,151.454
16,16,0,0,24.768
16,16,1,16,24.19
16,16,1,32,31.585
16,16,1,64,41.375
16,16,1,128,60.608
16,16,1,256,97.791
16,16,2,16,25.087
16,16,2,32,31.68
16,16,2,64,41.888
16,16,2,128,59.648
16,16,2,256,97.696
16,16,4,16,24.48
16,16,4,32,32.287
16,16,4,64,41.569
16,16,4,128,61.087
16,16,4,256,99.135
16,16,8,16,24.32
16,16,8,32,32.32
16,16,8,64,42.816
16,16,8,128,62.209
16,16,8,256,99.807
16,16,16,16,24.864
16,16,16,32,41.056
16,16,16,64,58.047
16,16,16,128,88.799
16,16,16,256,153.087
16,32,0,0,33.121
16,32,1,16,32.384
16,32,1,32,32.48
16,32,1,64,41.535
16,32,1,128,60.192
16,32,1,256,98.911
16,32,2,16,32.351
16,32,2,32,32.704
16,32,2,64,41.855
16,32,2,128,60.512
16,32,2,256,97.375
16,32,4,16,32.032
16,32,4,32,32.48
16,32,4,64,41.6
16,32,4,128,60.992
16,32,4,256,99.296
16,32,8,16,32.896
16,32,8,32,32.768
16,32,8,64,42.944
16,32,8,128,62.495
16,32,8,256,100.223
16,32,16,16,33.919
16,32,16,32,41.248
16,32,16,64,58.143
16,32,16,128,89.343
16,32,16,256,151.711
16,64,0,0,42.367
16,64,1,16,41.472
16,64,1,32,42.208
16,64,1,64,43.102
16,64,1,128,60.704
16,64,1,256,98.303
16,64,2,16,42.368
16,64,2,32,43.072
16,64,2,64,42.624
16,64,2,128,60.511
16,64,2,256,98.239
16,64,4,16,41.6
16,64,4,32,42.112
16,64,4,64,42.015
16,64,4,128,61.375
16,64,4,256,99.263
16,64,8,16,42.304
16,64,8,32,41.792
16,64,8,64,42.942
16,64,8,128,61.855
16,64,8,256,99.807
16,64,16,16,42.944
16,64,16,32,49.375
16,64,16,64,57.76
16,64,16,128,88.895
16,64,16,256,152.831
16,128,0,0,60.896
16,128,1,16,60.832
16,128,1,32,61.12
16,128,1,64,60.351
16,128,1,128,60.127
16,128,1,256,98.463
16,128,2,16,60.287
16,128,2,32,60.896
16,128,2,64,60.576
16,128,2,128,60.895
16,128,2,256,97.823
16,128,4,16,60.414
16,128,4,32,60.542
16,128,4,64,60.992
16,128,4,128,60.864
16,128,4,256,98.783
16,128,8,16,60.927
16,128,8,32,60.126
16,128,8,64,61.439
16,128,8,128,61.6
16,128,8,256,98.912
16,128,16,16,61.727
16,128,16,32,69.056
16,128,16,64,76.095
16,128,16,128,90.048
16,128,16,256,152.286
16,256,0,0,109.984
16,256,1,16,98.496
16,256,1,32,98.111
16,256,1,64,98.272
16,256,1,128,97.567
16,256,1,256,98.144
16,256,2,16,97.631
16,256,2,32,98.399
16,256,2,64,97.663
16,256,2,128,97.696
16,256,2,256,97.759
16,256,4,16,98.4
16,256,4,32,98.784
16,256,4,64,98.687
16,256,4,128,98.431
16,256,4,256,98.656
16,256,8,16,98.751
16,256,8,32,98.304
16,256,8,64,98.143
16,256,8,128,98.431
16,256,8,256,98.975
16,256,16,16,99.328
16,256,16,32,105.344
16,256,16,64,114.686
16,256,16,128,126.496
16,256,16,256,152.607
32,0,0,0,24.032
32,0,1,16,24.032
32,0,1,32,32.256
32,0,1,64,41.12
32,0,1,128,60.097
32,0,1,256,96.895
32,0,2,16,24.64
32,0,2,32,32.704
32,0,2,64,42.144
32,0,2,128,61.408
32,0,2,256,99.808
32,0,4,16,24.288
32,0,4,32,32.863
32,0,4,64,42.56
32,0,4,128,60.416
32,0,4,256,98.815
32,0,8,16,24.896
32,0,8,32,33.056
32,0,8,64,42.784
32,0,8,128,61.824
32,0,8,256,99.006
32,0,16,16,26.751
32,0,16,32,41.887
32,0,16,64,58.464
32,0,16,128,89.246
32,0,16,256,152.223
32,16,0,0,32.513
32,16,1,16,33.184
32,16,1,32,33.344
32,16,1,64,41.568
32,16,1,128,59.84
32,16,1,256,96.928
32,16,2,16,32.608
32,16,2,32,32.704
32,16,2,64,42.687
32,16,2,128,61.216
32,16,2,256,99.743
32,16,4,16,33.663
32,16,4,32,32.672
32,16,4,64,42.079
32,16,4,128,61.279
32,16,4,256,98.687
32,16,8,16,33.472
32,16,8,32,32.959
32,16,8,64,43.392
32,16,8,128,62.528
32,16,8,256,99.583
32,16,16,16,35.072
32,16,16,32,41.664
32,16,16,64,57.76
32,16,16,128,89.215
32,16,16,256,152.415
32,32,0,0,32.704
32,32,1,16,33.792
32,32,1,32,32.991
32,32,1,64,41.569
32,32,1,128,60.256
32,32,1,256,96.959
32,32,2,16,32.255
32,32,2,32,32.768
32,32,2,64,42.848
32,32,2,128,61.12
32,32,2,256,99.359
32,32,4,16,33.601
32,32,4,32,33.023
32,32,4,64,42.622
32,32,4,128,60.992
32,32,4,256,99.231
32,32,8,16,33.408
32,32,8,32,33.823
32,32,8,64,43.423
32,32,8,128,61.536
32,32,8,256,99.2
32,32,16,16,41.12
32,32,16,32,41.888
32,32,16,64,58.784
32,32,16,128,89.919
32,32,16,256,152.543
32,64,0,0,42.367
32,64,1,16,43.071
32,64,1,32,41.919
32,64,1,64,43.36
32,64,1,128,61.247
32,64,1,256,97.44
32,64,2,16,42.463
32,64,2,32,42.945
32,64,2,64,42.623
32,64,2,128,61.151
32,64,2,256,99.392
32,64,4,16,42.079
32,64,4,32,42.528
32,64,4,64,42.72
32,64,4,128,61.855
32,64,4,256,99.519
32,64,8,16,42.688
32,64,8,32,42.368
32,64,8,64,43.168
32,64,8,128,62.464
32,64,8,256,100.127
32,64,16,16,57.503
