layer,tokens,time_us
embedding,1,5.056
embedding,2,5.119
embedding,3,5.376
embedding,4,5.985
embedding,5,6.655
embedding,6,6.464
embedding,7,7.265
embedding,8,7.071
embedding,9,7.711
embedding,10,8.192
embedding,11,8.159
embedding,12,8.672
embedding,13,8.928
embedding,14,9.055
embedding,15,9.344
embedding,16,9.537
embedding,20,4.416
embedding,24,4.288
embedding,28,4.895
embedding,32,4.383
embedding,36,4.768
embedding,40,4.48
embedding,44,4.896
embedding,48,4.704
embedding,52,4.864
embedding,56,4.8
embedding,60,5.024
embedding,64,4.894
embedding,80,5.632
embedding,96,5.248
embedding,112,6.496
embedding,128,5.536
embedding,144,5.792
embedding,160,5.823
embedding,176,5.984
embedding,192,5.984
embedding,208,6.208
embedding,224,6.208
embedding,240,6.432
embedding,256,6.56
final_layernorm,1,12
final_layernorm,2,11.201
final_layernorm,3,11.04
final_layernorm,4,11.264
final_layernorm,5,10.112
final_layernorm,6,10.4
final_layernorm,7,9.951
final_layernorm,8,10.304
final_layernorm,9,11.615
final_layernorm,10,11.935
final_layernorm,11,11.264
final_layernorm,12,11.488
final_layernorm,13,11.872
final_layernorm,14,11.744
final_layernorm,15,11.744
final_layernorm,16,10.624
final_layernorm,20,11.712
final_layernorm,24,11.008
final_layernorm,28,11.584
final_layernorm,32,11.648
final_layernorm,36,12.16
final_layernorm,40,12.256
final_layernorm,44,12.352
final_layernorm,48,12.575
final_layernorm,52,12.833
final_layernorm,56,12.352
final_layernorm,60,13.728
final_layernorm,64,12.384
final_layernorm,80,12.48
final_layernorm,96,12.992
final_layernorm,112,14.112
final_layernorm,128,12.928
final_layernorm,144,13.888
final_layernorm,160,13.888
final_layernorm,176,13.888
final_layernorm,192,14.047
final_layernorm,208,13.696
final_layernorm,224,14.752
final_layernorm,240,14.336
final_layernorm,256,14.432
layernorm,1,11.04
layernorm,2,9.6
layernorm,3,9.616
layernorm,4,9.6965
layernorm,5,10.112
layernorm,6,9.888
layernorm,7,9.68
layernorm,8,9.696
layernorm,9,10.048
layernorm,10,9.7915
layernorm,11,9.951
layernorm,12,9.696
layernorm,13,9.616
layernorm,14,9.616
layernorm,15,9.872
layernorm,16,9.8235
layernorm,20,9.856
layernorm,24,9.8565
layernorm,28,9.7605
layernorm,32,9.728
layernorm,36,10.2555
layernorm,40,10.096
layernorm,44,9.92
layernorm,48,10.048
layernorm,52,9.9525
layernorm,56,10.064
layernorm,60,10.128
layernorm,64,10.096
layernorm,80,10.848
layernorm,96,10.3195
layernorm,112,10.352
layernorm,128,10.368
layernorm,144,10.5595
layernorm,160,10.9605
layernorm,176,10.9275
layernorm,192,10.9755
layernorm,208,11.376
layernorm,224,11.695
layernorm,240,12.24
layernorm,256,12.1285
o_proj,1,32.449
o_proj,2,37.824
o_proj,3,37.76
o_proj,4,37.376
o_proj,5,38.912
o_proj,6,38.015
o_proj,7,38.368
o_proj,8,37.855
o_proj,9,32
o_proj,10,32.736
o_proj,11,32.416
o_proj,12,32.8
o_proj,13,34.816
o_proj,14,35.839
o_proj,15,35.328
o_proj,16,35.168
o_proj,20,35.52
o_proj,24,35.424
o_proj,28,36.544
o_proj,32,36.863
o_proj,36,56.447
o_proj,40,56.863
o_proj,44,56.8
o_proj,48,56.64
o_proj,52,55.072
o_proj,56,56.32
o_proj,60,55.872
o_proj,64,55.391
o_proj,80,58.559
o_proj,96,59.296
o_proj,112,69.504
