layer,sequences,time_us
lm_head,1,427.806
lm_head,2,422.877
lm_head,3,437.02
lm_head,4,433.692
lm_head,5,434.59
lm_head,6,434.232
lm_head,7,435.869
lm_head,8,433.724
lm_head,9,435.644
lm_head,10,435.453
lm_head,11,442.205
lm_head,12,439.869
lm_head,13,441.149
lm_head,14,440.832
lm_head,15,444.572
lm_head,16,443.933
lm_head,20,449.277
lm_head,24,465.5
lm_head,28,464.765
lm_head,32,471.453
sampler,1,25.28
sampler,2,26.08
sampler,3,26.944
sampler,4,26.175
sampler,5,25.504
sampler,6,27.327
sampler,7,26.848
sampler,8,27.486
sampler,9,26.816
sampler,10,26.592
sampler,11,27.007
sampler,12,27.392
sampler,13,26.624
sampler,14,27.68
sampler,15,27.392
sampler,16,28.288
sampler,20,28.257
sampler,24,32.864
sampler,28,33.377
sampler,32,35.584
