layer,tokens,time_us
embedding,1,6.464
embedding,2,6.528
embedding,3,6.815
embedding,4,7.168
embedding,5,7.678
embedding,6,8.032
embedding,7,8.416
embedding,8,8.928
embedding,9,9.696
embedding,10,9.697
embedding,11,10.047
embedding,12,10.432
embedding,13,11.007
embedding,14,11.616
embedding,15,11.809
embedding,16,11.936
embedding,20,5.503
embedding,24,5.407
embedding,28,5.601
embedding,32,5.504
embedding,36,6.016
embedding,40,5.664
embedding,44,5.922
embedding,48,5.76
embedding,52,5.984
embedding,56,12.128
embedding,60,6.144
embedding,64,6.048
embedding,80,7.17
embedding,96,6.656
embedding,112,7.456
embedding,128,6.944
embedding,144,6.911
embedding,160,6.88
embedding,176,7.008
embedding,192,6.944
embedding,208,7.168
embedding,224,7.168
embedding,240,7.326
embedding,256,7.52
final_layernorm,1,4.8
final_layernorm,2,4.48
final_layernorm,3,4.928
final_layernorm,4,4.48
final_layernorm,5,4.416
final_layernorm,6,4.513
final_layernorm,7,4.224
final_layernorm,8,4.224
final_layernorm,9,4.32
final_layernorm,10,4.416
final_layernorm,11,4.544
final_layernorm,12,4.288
final_layernorm,13,4.512
final_layernorm,14,4.576
final_layernorm,15,4.352
final_layernorm,16,4.384
final_layernorm,20,7.264
final_layernorm,24,4.768
final_layernorm,28,5.056
final_layernorm,32,5.28
final_layernorm,36,5.536
final_layernorm,40,5.6
final_layernorm,44,5.824
final_layernorm,48,10.56
final_layernorm,52,6.016
final_layernorm,56,5.984
final_layernorm,60,5.888
final_layernorm,64,6.112
final_layernorm,80,7.008
final_layernorm,96,6.816
final_layernorm,112,7.775
final_layernorm,128,8.192
final_layernorm,144,7.36
final_layernorm,160,7.808
final_layernorm,176,9.6
final_layernorm,192,10.4
final_layernorm,208,9.28
final_layernorm,224,10.016
final_layernorm,240,9.856
final_layernorm,256,8.544
layernorm,1,5.28
layernorm,2,4.8155
layernorm,3,4.736
layernorm,4,4.8955
layernorm,5,5.008
layernorm,6,4.8805
layernorm,7,4.736
layernorm,8,4.752
layernorm,9,4.768
layernorm,10,4.608
layernorm,11,4.928
layernorm,12,5.023
layernorm,13,4.928
layernorm,14,4.864
layernorm,15,4.784
layernorm,16,5.136
layernorm,20,4.944
layernorm,24,4.9445
layernorm,28,4.992
