layer,tokens,time_us
embedding,1,5.215
embedding,2,5.663
embedding,3,6.015
embedding,4,6.4
embedding,5,6.752
embedding,6,6.943
embedding,7,7.199
embedding,8,7.263
embedding,9,7.904
embedding,10,8.224
embedding,11,8.544
embedding,12,9.216
embedding,13,9.28
embedding,14,9.919
embedding,15,10.111
embedding,16,10.367
embedding,20,4.864
embedding,24,4.576
embedding,28,5.057
embedding,32,4.799
embedding,36,5.12
embedding,40,5.056
embedding,44,5.216
embedding,48,4.83
embedding,52,5.056
embedding,56,4.96
embedding,60,5.12
embedding,64,5.088
embedding,80,5.792
embedding,96,5.728
embedding,112,5.984
embedding,128,5.536
embedding,144,5.792
embedding,160,5.792
embedding,176,6.175
embedding,192,5.92
embedding,208,6.016
embedding,224,6.015
embedding,240,6.561
embedding,256,6.304
final_layernorm,1,4.095
final_layernorm,2,4.384
final_layernorm,3,4.288
final_layernorm,4,4.192
final_layernorm,5,4.096
final_layernorm,6,4.448
final_layernorm,7,4.064
final_layernorm,8,4.161
final_layernorm,9,4.031
final_layernorm,10,4.384
final_layernorm,11,4.096
final_layernorm,12,4.288
final_layernorm,13,4.48
final_layernorm,14,4.224
final_layernorm,15,4.256
final_layernorm,16,4.672
final_layernorm,20,4.768
final_layernorm,24,4.512
final_layernorm,28,4.48
final_layernorm,32,4.512
final_layernorm,36,4.575
final_layernorm,40,4.704
final_layernorm,44,4.928
final_layernorm,48,4.96
final_layernorm,52,4.768
final_layernorm,56,4.96
final_layernorm,60,5.44
final_layernorm,64,5.343
final_layernorm,80,6.304
final_layernorm,96,5.568
final_layernorm,112,6.432
final_layernorm,128,6.465
final_layernorm,144,6.56
final_layernorm,160,7.008
final_layernorm,176,8.64
final_layernorm,192,9.248
final_layernorm,208,9.344
final_layernorm,224,9.407
final_layernorm,240,9.472
final_layernorm,256,7.968
layernorm,1,4.56
layernorm,2,4.4805
layernorm,3,4.592
layernorm,4,4.5115
layernorm,5,4.544
layernorm,6,4.656
layernorm,7,4.415
layernorm,8,4.352
layernorm,9,4.3835
layernorm,10,4.4485
layernorm,11,4.384
layernorm,12,4.352
layernorm,13,4.448
layernorm,14,4.32
layernorm,15,4.496
layernorm,16,4.3035
layernorm,20,4.352
layernorm,24,4.304
layernorm,28,4.4635
layernorm,32,4.368
layernorm,36,4.8485
layernorm,40,4.944
layernorm,44,4.7835
layernorm,48,4.944
layernorm,52,5.072
layernorm,56,5.1035
layernorm,60,5.088
layernorm,64,5.28
layernorm,80,5.4555
layernorm,96,5.616
layernorm,112,5.6005
layernorm,128,5.952
layernorm,144,5.824
layernorm,160,6.16
layernorm,176,6.768
layernorm,192,7.648
layernorm,208,7.104
layernorm,224,7.9035
layernorm,240,7.472
layernorm,256,6.992
o_proj,1,18.655
o_proj,2,25.216
o_proj,3,24.928
o_proj,4,25.184
o_proj,5,25.374
o_proj,6,25.152
o_proj,7,25.568
o_proj,8,25.056
o_proj,9,25.439
o_proj,10,25.471
o_proj,11,25.664
o_proj,12,25.728
o_proj,13,26.432
o_proj,14,26.368
o_proj,15,25.792
o_proj,16,26.08
o_proj,20,28.192
o_proj,24,28.096
o_proj,28,27.615
o_proj,32,28.064
o_proj,36,30.112
o_proj,40,31.84
o_proj,44,33.216
o_proj,48,33.152
o_proj,52,33.663
o_proj,56,34.016
o_proj,60,33.503
o_proj,64,34.336
o_proj,80,42.848
o_proj,96,47.744
o_proj,112,47.391
o_proj,128,51.839
o_proj,144,60.448
o_proj,160,60.704
o_proj,176,51.264
o_proj,192,49.665
o_proj,208,56.319
o_proj,224,58.08
o_proj,240,58.975
o_proj,256,59.04
qkv_proj,1,59.326
qkv_proj,2,47.968
qkv_proj,3,48.799
qkv_proj,4,55.103
qkv_proj,5,53.472
qkv_proj,6,54.815
