prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,23.04
0,0,1,32,22.752
0,0,1,64,22.367
0,0,1,128,23.424
0,0,1,256,28.481
0,0,2,16,22.336
0,0,2,32,22.528
0,0,2,64,22.881
0,0,2,128,22.976
0,0,2,256,27.967
0,0,4,16,22.848
0,0,4,32,23.103
0,0,4,64,23.2
0,0,4,128,27.679
0,0,4,256,37.182
0,0,8,16,23.008
0,0,8,32,23.231
0,0,8,64,28.417
0,0,8,128,38.976
0,0,8,256,56.607
0,0,16,16,26.879
0,0,16,32,30.048
0,0,16,64,44.48
0,0,16,128,56.191
0,0,16,256,86.175
0,0,32,16,40.32
0,0,32,32,47.936
0,0,32,64,63.135
0,0,32,128,94.24
0,0,32,256,152.863
16,0,0,0,26.591
16,0,1,16,24.128
16,0,1,32,33.503
16,0,1,64,43.679
16,0,1,128,64.512
16,0,1,256,104.639
16,0,2,16,35.36
16,0,2,32,34.144
16,0,2,64,43.871
16,0,2,128,63.647
16,0,2,256,103.39
16,0,4,16,25.536
16,0,4,32,34.464
16,0,4,64,43.967
16,0,4,128,64.287
16,0,4,256,104.767
16,0,8,16,26.367
16,0,8,32,34.751
16,0,8,64,44.864
16,0,8,128,66.144
16,0,8,256,106.815
16,0,16,16,26.399
16,0,16,32,44.543
16,0,16,64,60.544
16,0,16,128,95.007
16,0,16,256,162.432
16,16,0,0,25.503
16,16,1,16,25.632
16,16,1,32,33.76
16,16,1,64,43.808
16,16,1,128,63.968
16,16,1,256,104.735
16,16,2,16,25.376
16,16,2,32,33.855
16,16,2,64,43.68
16,16,2,128,64.129
16,16,2,256,103.775
16,16,4,16,25.28
16,16,4,32,34.048
16,16,4,64,44.351
16,16,4,128,65.599
16,16,4,256,104.64
16,16,8,16,25.856
16,16,8,32,34.144
16,16,8,64,45.792
16,16,8,128,65.792
16,16,8,256,107.007
16,16,16,16,26.783
16,16,16,32,43.361
16,16,16,64,60.927
16,16,16,128,94.048
16,16,16,256,162.335
16,32,0,0,35.232
16,32,1,16,33.952
16,32,1,32,34.112
16,32,1,64,44.287
16,32,1,128,63.936
16,32,1,256,105.246
16,32,2,16,34.56
16,32,2,32,34.464
16,32,2,64,44.129
16,32,2,128,63.391
16,32,2,256,103.711
16,32,4,16,34.303
16,32,4,32,34.432
16,32,4,64,44.288
16,32,4,128,64.223
16,32,4,256,105.087
16,32,8,16,34.72
16,32,8,32,34.752
16,32,8,64,45.345
16,32,8,128,66.752
16,32,8,256,105.631
