layer,sequences,time_us
lm_head,1,849.433
lm_head,2,859.321
lm_head,3,857.53
lm_head,4,867.769
lm_head,5,867.353
lm_head,6,874.137
lm_head,7,878.65
lm_head,8,886.265
lm_head,9,877.978
lm_head,10,889.112
lm_head,11,955.447
lm_head,12,961.592
lm_head,13,969.816
lm_head,14,970.487
lm_head,15,972.473
lm_head,16,975.735
lm_head,20,919.769
lm_head,24,929.817
lm_head,28,939.319
lm_head,32,954.392
sampler,1,24.544
sampler,2,26.079
sampler,3,25.568
sampler,4,27.488
sampler,5,31.04
sampler,6,32.608
sampler,7,35.105
sampler,8,35.422
sampler,9,40.319
sampler,10,41.472
sampler,11,43.712
sampler,12,49.151
sampler,13,51.901
sampler,14,55.968
sampler,15,59.231
sampler,16,59.679
sampler,20,73.247
sampler,24,87.551
sampler,28,94.783
sampler,32,102.911
