prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,25.121
0,0,1,32,25.248
0,0,1,64,26.048
0,0,1,128,26.944
0,0,1,256,37.791
0,0,2,16,25.182
0,0,2,32,26.08
0,0,2,64,28.864
0,0,2,128,43.935
0,0,2,256,61.92
0,0,4,16,26.527
0,0,4,32,32.32
0,0,4,64,44.993
0,0,4,128,61.792
0,0,4,256,97.344
0,0,8,16,43.934
0,0,8,32,50.687
0,0,8,64,68.095
0,0,8,128,103.422
0,0,8,256,170.494
0,0,16,16,59.328
0,0,16,32,98.943
0,0,16,64,140.574
0,0,16,128,221.567
0,0,16,256,377.565
0,0,32,16,92.319
0,0,32,32,162.11
0,0,32,64,233.246
0,0,32,128,418.077
0,0,32,256,664.06
16,0,0,0,28.832
16,0,1,16,29.567
16,0,1,32,39.712
16,0,1,64,51.391
16,0,1,128,75.647
16,0,1,256,122.944
16,0,2,16,29.248
16,0,2,32,39.104
16,0,2,64,51.457
16,0,2,128,75.263
16,0,2,256,123.07
16,0,4,16,31.583
16,0,4,32,51.199
16,0,4,64,71.359
16,0,4,128,111.039
16,0,4,256,193.663
16,0,8,16,35.616
16,0,8,32,55.87
16,0,8,64,77.887
16,0,8,128,119.391
16,0,8,256,198.655
16,0,16,16,58.431
16,0,16,32,99.359
16,0,16,64,139.615
16,0,16,128,219.391
16,0,16,256,381.117
16,16,0,0,28.607
16,16,1,16,29.056
16,16,1,32,39.52
16,16,1,64,51.295
16,16,1,128,75.839
16,16,1,256,123.103
16,16,2,16,29.056
16,16,2,32,39.264
16,16,2,64,51.232
16,16,2,128,75.487
16,16,2,256,124.095
16,16,4,16,31.423
16,16,4,32,50.273
16,16,4,64,70.624
16,16,4,128,112.447
16,16,4,256,193.086
16,16,8,16,35.168
16,16,8,32,56.576
16,16,8,64,78.592
16,16,8,128,119.807
16,16,8,256,198.398
16,16,16,16,59.136
16,16,16,32,99.711
16,16,16,64,140.543
16,16,16,128,220.445
16,16,16,256,380.957
16,32,0,0,39.168
16,32,1,16,39.232
16,32,1,32,39.488
16,32,1,64,51.455
16,32,1,128,75.999
16,32,1,256,123.679
16,32,2,16,39.199
16,32,2,32,39.424
16,32,2,64,51.584
16,32,2,128,75.807
16,32,2,256,123.647
16,32,4,16,42.912
16,32,4,32,50.911
16,32,4,64,71.135
16,32,4,128,110.784
16,32,4,256,191.903
16,32,8,16,56.095
16,32,8,32,56.415
16,32,8,64,78.592
16,32,8,128,117.695
16,32,8,256,198.719
16,32,16,16,69.598
16,32,16,32,99.551
16,32,16,64,141.023
16,32,16,128,219.294
16,32,16,256,379.389
16,64,0,0,51.136
16,64,1,16,50.848
16,64,1,32,50.847
16,64,1,64,61.12
16,64,1,128,75.712
16,64,1,256,123.711
16,64,2,16,51.456
16,64,2,32,51.519
16,64,2,64,51.807
16,64,2,128,75.838
16,64,2,256,124.031
16,64,4,16,54.847
16,64,4,32,63.711
16,64,4,64,73.279
16,64,4,128,112.095
16,64,4,256,191.966
16,64,8,16,76.287
16,64,8,32,77.407
16,64,8,64,78.815
16,64,8,128,119.839
16,64,8,256,198.206
16,64,16,16,81.792
16,64,16,32,110.272
16,64,16,64,141.312
16,64,16,128,221.182
16,64,16,256,377.822
16,128,0,0,75.04
16,128,1,16,75.519
16,128,1,32,75.2
16,128,1,64,74.975
16,128,1,128,75.904
16,128,1,256,123.936
16,128,2,16,75.584
16,128,2,32,75.68
16,128,2,64,76.064
16,128,2,128,76
16,128,2,256,124.224
16,128,4,16,77.951
16,128,4,32,85.825
16,128,4,64,96.511
16,128,4,128,111.231
16,128,4,256,192.127
16,128,8,16,115.008
16,128,8,32,116.958
16,128,8,64,118.527
16,128,8,128,120.575
16,128,8,256,198.847
16,128,16,16,104.639
16,128,16,32,133.791
16,128,16,64,163.711
16,128,16,128,221.279
16,128,16,256,383.581
16,256,0,0,123.551
16,256,1,16,123.518
16,256,1,32,122.783
16,256,1,64,122.975
16,256,1,128,123.166
16,256,1,256,124.191
16,256,2,16,123.423
16,256,2,32,123.806
16,256,2,64,124.256
16,256,2,128,124.767
16,256,2,256,124.607
16,256,4,16,126.111
16,256,4,32,135.679
16,256,4,64,141.279
16,256,4,128,157.087
16,256,4,256,192.191
16,256,8,16,196.254
16,256,8,32,196.222
16,256,8,64,198.046
16,256,8,128,197.854
16,256,8,256,200.383
16,256,16,16,149.055
16,256,16,32,219.455
16,256,16,64,214.655
16,256,16,128,265.086
16,256,16,256,378.109
32,0,0,0,29.248
32,0,1,16,29.696
32,0,1,32,39.326
32,0,1,64,51.168
32,0,1,128,74.783
32,0,1,256,122.43
32,0,2,16,30.016
32,0,2,32,39.008
32,0,2,64,52.32
32,0,2,128,76.287
32,0,2,256,123.871
