layer,sequences,time_us
lm_head,1,865.497
lm_head,2,869.018
lm_head,3,874.939
lm_head,4,879.834
lm_head,5,885.05
lm_head,6,888.76
lm_head,7,886.68
lm_head,8,891.417
lm_head,9,891.608
lm_head,10,896.537
lm_head,11,969.977
lm_head,12,967.64
lm_head,13,974.072
lm_head,14,983.64
lm_head,15,975.834
lm_head,16,988.825
lm_head,20,993.593
lm_head,24,1000.47
lm_head,28,1012.57
lm_head,32,1023.32
sampler,1,30.784
sampler,2,30.656
sampler,3,32.256
sampler,4,33.216
sampler,5,37.375
sampler,6,39.359
sampler,7,40.64
sampler,8,42.495
sampler,9,48.254
sampler,10,49.343
sampler,11,52.095
sampler,12,56.064
sampler,13,58.144
sampler,14,61.888
sampler,15,66.176
sampler,16,68.512
sampler,20,79.744
sampler,24,92.992
sampler,28,104.638
sampler,32,110.783
