prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,35.232
0,0,1,32,38.208
0,0,1,64,37.343
0,0,1,128,39.392
0,0,1,256,46.24
0,0,2,16,35.904
0,0,2,32,36.192
0,0,2,64,34.784
0,0,2,128,39.199
0,0,2,256,56.479
0,0,4,16,36.158
0,0,4,32,36.672
0,0,4,64,39.104
0,0,4,128,41.152
0,0,4,256,60.638
0,0,8,16,41.151
0,0,8,32,41.952
0,0,8,64,46.112
0,0,8,128,70.782
0,0,8,256,103.871
0,0,16,16,46.848
0,0,16,32,55.617
0,0,16,64,74.528
0,0,16,128,103.518
0,0,16,256,160.607
0,0,32,16,81.599
0,0,32,32,95.135
0,0,32,64,123.55
0,0,32,128,183.295
0,0,32,256,294.367
16,0,0,0,43.808
16,0,1,16,41.344
16,0,1,32,57.759
16,0,1,64,75.968
16,0,1,128,112.319
16,0,1,256,187.902
16,0,2,16,40.703
16,0,2,32,57.439
16,0,2,64,76.223
16,0,2,128,112.607
16,0,2,256,187.455
16,0,4,16,40.992
16,0,4,32,58.88
16,0,4,64,78.815
16,0,4,128,114.431
16,0,4,256,191.519
16,0,8,16,45.952
16,0,8,32,64.063
16,0,8,64,82.975
16,0,8,128,123.167
16,0,8,256,198.718
16,0,16,16,46.432
16,0,16,32,81.536
16,0,16,64,110.527
16,0,16,128,171.679
16,0,16,256,298.014
16,16,0,0,42.56
16,16,1,16,43.167
16,16,1,32,58.208
16,16,1,64,76.992
16,16,1,128,113.792
16,16,1,256,190.302
16,16,2,16,42.687
16,16,2,32,58.496
16,16,2,64,76.031
16,16,2,128,115.136
16,16,2,256,190.111
16,16,4,16,42.111
16,16,4,32,59.679
16,16,4,64,76.543
16,16,4,128,115.647
16,16,4,256,191.998
16,16,8,16,45.984
16,16,8,32,66.144
16,16,8,64,84.863
16,16,8,128,122.91
16,16,8,256,197.758
16,16,16,16,46.943
16,16,16,32,79.167
16,16,16,64,108.926
16,16,16,128,172.734
16,16,16,256,298.334
16,32,0,0,58.111
16,32,1,16,58.208
16,32,1,32,60.128
16,32,1,64,75.328
16,32,1,128,114.879
16,32,1,256,186.398
16,32,2,16,58.335
16,32,2,32,58.014
16,32,2,64,77.087
16,32,2,128,115.423
16,32,2,256,190.27
16,32,4,16,58.848
16,32,4,32,59.295
16,32,4,64,79.455
16,32,4,128,113.631
16,32,4,256,192.447
16,32,8,16,61.952
16,32,8,32,79.039
16,32,8,64,98.08
