prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,32.277
0,0,1,32,32.363
0,0,1,64,32.394
0,0,1,128,32.746
0,0,1,256,42.1117
0,0,1,512,69.685
0,0,1,1024,103.648
0,0,1,2048,170.122
0,0,1,4096,303.593
0,0,1,8192,568.146
0,0,2,16,29.77
0,0,2,32,29.7383
0,0,2,64,30.2397
0,0,2,128,37.4083
0,0,2,256,54.5707
0,0,2,512,95.7543
0,0,2,1024,144.48
0,0,2,2048,240.671
0,0,2,4096,446.173
0,0,2,8192,983.492
0,0,4,16,29.887
0,0,4,32,37.024
0,0,4,64,45.962
0,0,4,128,57.6527
0,0,4,256,88.4363
0,0,4,512,146.463
0,0,4,1024,268.038
0,0,4,2048,461.821
0,0,4,4096,860.077
0,0,4,8192,1901.85
0,0,8,16,39.1997
0,0,8,32,121.642
0,0,8,64,65.909
0,0,8,128,94.5067
0,0,8,256,146.975
0,0,8,512,251.707
0,0,8,1024,478.215
0,0,8,2048,902.533
0,0,8,4096,1692.39
0,0,8,8192,3535.1
0,0,16,16,64.416
0,0,16,32,78.667
0,0,16,64,106.836
0,0,16,128,162.303
0,0,16,256,267.764
0,0,16,512,488.349
0,0,16,1024,896.561
0,0,16,2048,1747.47
0,0,16,4096,3374.96
0,0,16,8192,6802.59
0,0,32,16,79.4767
0,0,32,32,142.474
0,0,32,64,204.148
0,0,32,128,327.915
0,0,32,256,573.81
0,0,32,512,1063.89
0,0,32,1024,2045.81
0,0,32,2048,4012.08
0,0,32,4096,7945.57
0,0,32,8192,15801.6
0,0,64,16,132.554
0,0,64,32,241.641
0,0,64,64,354.366
0,0,64,128,636.092
0,0,64,256,1014.8
0,0,64,512,2107
0,0,64,1024,3805.47
0,0,64,2048,7987.98
0,0,64,4096,15829
0,0,64,8192,31553.3
0,0,128,16,250.493
0,0,128,32,447.048
0,0,128,64,697.222
0,0,128,128,1135.91
0,0,128,256,1928.45
0,0,128,512,3736.12
0,0,128,1024,7201.1
0,0,128,2048,14145.3
0,0,128,4096,28028.4
0,0,128,8192,55814.5
0,0,256,16,473.853
0,0,256,32,880.367
0,0,256,64,1300.7
0,0,256,128,2101.33
0,0,256,256,3745.44
0,0,256,512,6956.93
0,0,256,1024,13432.4
0,0,256,2048,26339.6
0,0,256,4096,52183.9
0,0,256,8192,103967
16,0,0,0,34.9973
16,0,1,16,33.856
16,0,1,32,48.02
16,0,1,64,66.3573
16,0,1,128,104.437
16,0,1,256,179.831
16,0,1,512,331.251
16,0,1,1024,634.001
16,0,1,2048,1240.01
16,0,1,4096,2449.65
16,0,1,8192,4871.2
16,0,2,16,32.5013
16,0,2,32,49.5783
16,0,2,64,261.566
16,0,2,128,106.559
16,0,2,256,182.015
16,0,2,512,333.161
16,0,2,1024,635.836
16,0,2,2048,1240.52
16,0,2,4096,2449.75
16,0,2,8192,4868.55
16,0,4,16,32.5333
16,0,4,32,49.5037
16,0,4,64,68.5103
16,0,4,128,105.972
16,0,4,256,180.991
16,0,4,512,331.006
16,0,4,1024,629.991
16,0,4,2048,1228.35
16,0,4,4096,2425.63
16,0,4,8192,4824.06
16,0,8,16,44.6823
16,0,8,32,76.5007
16,0,8,64,108.459
16,0,8,128,170.346
16,0,8,256,296.863
16,0,8,512,544.295
16,0,8,1024,1043.84
16,0,8,2048,2042.25
16,0,8,4096,4037.92
16,0,8,8192,8033.14
