layer,tokens,time_us
act_fn,1,12.736
act_fn,2,12.9387
act_fn,3,12.5757
act_fn,4,12.416
act_fn,5,12.5653
act_fn,6,12.736
act_fn,7,12.662
act_fn,8,12.7893
act_fn,9,12.768
act_fn,10,13.0347
act_fn,11,12.9067
act_fn,12,12.896
act_fn,13,12.7573
act_fn,14,12.9703
act_fn,15,12.9493
act_fn,16,13.0667
act_fn,20,12.4907
act_fn,24,12.4907
act_fn,28,12.5333
act_fn,32,12.768
act_fn,36,13.0347
act_fn,40,13.515
act_fn,44,13.8667
act_fn,48,14.1973
act_fn,52,14.56
act_fn,56,15.3383
act_fn,60,15.211
act_fn,64,15.168
act_fn,80,16.5223
act_fn,96,22.8907
act_fn,112,24.0427
act_fn,128,24.5863
act_fn,144,25.8987
act_fn,160,27.7543
act_fn,176,35.9787
act_fn,192,36.7463
act_fn,208,38.5273
act_fn,224,39.1363
act_fn,240,43.05
act_fn,256,47.1037
act_fn,272,45.6207
act_fn,288,47.2523
act_fn,304,48.7143
act_fn,320,50.0477
act_fn,336,56.4477
act_fn,352,57.1513
act_fn,368,58.2393
act_fn,384,73.343
act_fn,400,63.2003
act_fn,416,76.4477
act_fn,432,67.104
act_fn,448,68.682
act_fn,464,71.872
act_fn,480,74.122
act_fn,496,76.767
act_fn,512,79.423
act_fn,528,82.8577
act_fn,544,85.4183
act_fn,560,86.4633
act_fn,576,89.4283
act_fn,592,90.869
act_fn,608,91.5623
act_fn,624,94.623
act_fn,640,97.1087
act_fn,656,97.5357
act_fn,672,98.634
act_fn,688,100.949
act_fn,704,101.589
act_fn,720,104.34
act_fn,736,107.146
act_fn,752,108.586
act_fn,768,111.946
act_fn,784,114.89
act_fn,800,116.992
act_fn,816,119.466
act_fn,832,121.791
act_fn,848,123.242
act_fn,864,125.343
act_fn,880,127.231
act_fn,896,130.452
act_fn,912,128.896
act_fn,928,131.743
act_fn,944,133.418
act_fn,960,135.967
act_fn,976,138.698
act_fn,992,140.213
act_fn,1008,142.516
act_fn,1024,144.191
act_fn,1040,146.751
act_fn,1056,147.871
act_fn,1072,150.922
act_fn,1088,153.748
act_fn,1104,155.412
act_fn,1120,156.778
act_fn,1136,159.443
act_fn,1152,160.82
act_fn,1168,165.61
act_fn,1184,167.551
act_fn,1200,169.471
act_fn,1216,171.54
act_fn,1232,174.089
act_fn,1248,177.194
act_fn,1264,178.153
act_fn,1280,179.551
act_fn,1296,180.607
act_fn,1312,181.995
act_fn,1328,184.682
act_fn,1344,187.369
act_fn,1360,188.159
act_fn,1376,189.524
act_fn,1392,193.151
act_fn,1408,194.975
act_fn,1424,200.297
act_fn,1440,201.087
act_fn,1456,203.657
act_fn,1472,206.217
act_fn,1488,209.246
act_fn,1504,210.057
act_fn,1520,353.032
act_fn,1536,215.242
act_fn,1552,213.599
act_fn,1568,216.052
act_fn,1584,218.398
act_fn,1600,220.243
act_fn,1616,222.345
act_fn,1632,226.207
act_fn,1648,227.753
act_fn,1664,228.852
act_fn,1680,232.169
act_fn,1696,235.093
act_fn,1712,237.396
act_fn,1728,238.377
act_fn,1744,240.766
act_fn,1760,243.582
act_fn,1776,245.385
act_fn,1792,247.753
act_fn,1808,251.497
act_fn,1824,253.844
act_fn,1840,255.07
act_fn,1856,258.249
act_fn,1872,259.806
act_fn,1888,262.889
act_fn,1904,264.244
act_fn,1920,266.366
act_fn,1936,264.979
act_fn,1952,267.892
act_fn,1968,269.353
act_fn,1984,272.34
act_fn,2000,274.206
act_fn,2016,275.689
act_fn,2032,278.057
act_fn,2048,279.615
down_proj,1,217.033
down_proj,2,301.47
down_proj,3,302.27
down_proj,4,300.674
down_proj,5,342.941
down_proj,6,345.73
down_proj,7,342.515
down_proj,8,337.768
down_proj,9,337.896
down_proj,10,318.771
down_proj,11,330.383
down_proj,12,322.654
down_proj,13,348.306
down_proj,14,299.689
down_proj,15,302.377
down_proj,16,301.748
down_proj,20,314.003
down_proj,24,317.353
down_proj,28,313.939
down_proj,32,352.936
down_proj,36,574.48
down_proj,40,576.196
down_proj,44,577.212
down_proj,48,578.652
down_proj,52,579.964
down_proj,56,580.405
down_proj,60,589.298
down_proj,64,584.732
down_proj,80,863.302
down_proj,96,636.145
down_proj,112,642.42
down_proj,128,657.456
down_proj,144,786.491
down_proj,160,787.195
down_proj,176,773.819
down_proj,192,773.777
down_proj,208,777.222
down_proj,224,782.167
down_proj,240,789.659
down_proj,256,786.405
down_proj,272,1000.92
down_proj,288,1001.77
down_proj,304,1002.64
down_proj,320,1000.39
down_proj,336,1005.8
down_proj,352,1010.72
down_proj,368,1021.57
down_proj,384,1021.84
down_proj,400,1234.76
down_proj,416,1231.54
down_proj,432,1239.15
down_proj,448,1256.66
down_proj,464,1273.1
down_proj,480,1283.86
down_proj,496,1451.89
down_proj,512,1457.31
down_proj,528,1461.85
down_proj,544,1462.24
down_proj,560,1461.05
down_proj,576,1465.7
down_proj,592,1460.8
down_proj,608,1464.6
down_proj,624,1462.3
down_proj,640,1469.8
down_proj,656,1865.5
down_proj,672,1862.63
down_proj,688,1864.2
down_proj,704,1863.92
down_proj,720,1866.64
down_proj,736,1873.48
down_proj,752,1872.46
down_proj,768,1874.21
down_proj,784,2174.04
down_proj,800,2174.33
down_proj,816,2177.78
down_proj,832,2176.59
down_proj,848,2179.59
down_proj,864,2180.35
down_proj,880,2182.93
down_proj,896,2184.48
down_proj,912,2447.24
down_proj,928,2448.82
down_proj,944,2449.76
down_proj,960,2448.68
down_proj,976,2449.5
down_proj,992,2452.59
down_proj,1008,2454.41
down_proj,1024,2460.17
down_proj,1040,2956.9
down_proj,1056,2957.83
down_proj,1072,2959.14
down_proj,1088,2957.31
down_proj,1104,2961.78
down_proj,1120,2964.59
down_proj,1136,2968.92
down_proj,1152,2962.86
down_proj,1168,2908.42
down_proj,1184,2906.76
down_proj,1200,2908.36
down_proj,1216,2910.59
down_proj,1232,2909.11
down_proj,1248,2912.19
down_proj,1264,2909.46
down_proj,1280,2920.11
down_proj,1296,3351.52
down_proj,1312,3353.59
down_proj,1328,3352.7
down_proj,1344,3353.38
down_proj,1360,3355.65
down_proj,1376,3357.35
down_proj,1392,3362.34
down_proj,1408,3365.03
down_proj,1424,3623.5
down_proj,1440,3625.44
down_proj,1456,3623.42
down_proj,1472,3627.22
down_proj,1488,3627.42
down_proj,1504,3631.27
down_proj,1520,3631.01
down_proj,1536,3634.45
down_proj,1552,3916.33
down_proj,1568,3921.04
down_proj,1584,3919.23
down_proj,1600,3923.54
down_proj,1616,3921.3
down_proj,1632,3924.54
down_proj,1648,3924.88
down_proj,1664,3930.27
down_proj,1680,4346.2
down_proj,1696,4350.46
down_proj,1712,4348
down_proj,1728,4351.63
down_proj,1744,4354.06
down_proj,1760,4352.17
down_proj,1776,4352.69
down_proj,1792,4356.54
down_proj,1808,4357.38
down_proj,1824,4357.86
down_proj,1840,4361.78
