layer,sequences,time_us
lm_head,1,1646.08
lm_head,2,1652.14
lm_head,3,1644.86
lm_head,4,1666.6
lm_head,5,1675.7
lm_head,6,1683.32
lm_head,7,1697.14
lm_head,8,1730.37
lm_head,9,1764.98
lm_head,10,1784.51
lm_head,11,1792.19
lm_head,12,1805.21
lm_head,13,1820.11
lm_head,14,1818.32
lm_head,15,1901.67
lm_head,16,1931.78
lm_head,20,2466.24
lm_head,24,2497.38
lm_head,28,2501.81
lm_head,32,2516.2
lm_head,36,4861.3
lm_head,40,4879.55
lm_head,44,4895.93
lm_head,48,4913.13
lm_head,52,4928.91
lm_head,56,4943.45
lm_head,60,4957.68
lm_head,64,4974.67
lm_head,80,2713.65
lm_head,96,2730.77
lm_head,112,3350.93
lm_head,128,3383.06
lm_head,144,5359.22
lm_head,160,5363.33
lm_head,176,5368.7
lm_head,192,5370.89
lm_head,208,5386.89
lm_head,224,5397.66
lm_head,240,5412.61
lm_head,256,5437.09
sampler,1,91.8393
sampler,2,89.8443
sampler,3,90.8687
sampler,4,90.8253
sampler,5,91.8607
sampler,6,94.0053
sampler,7,95.0823
sampler,8,97.2373
sampler,9,97.397
sampler,10,106.229
sampler,11,113.855
sampler,12,115.967
sampler,13,118.622
sampler,14,120.874
sampler,15,122.89
sampler,16,124.511
sampler,20,132.873
sampler,24,139.348
sampler,28,146.26
sampler,32,154.164
sampler,36,161.598
sampler,40,166.495
sampler,44,173.878
sampler,48,181.119
sampler,52,187.285
sampler,56,195.476
sampler,60,202.537
sampler,64,209.791
sampler,80,239.475
sampler,96,294.463
sampler,112,323.433
sampler,128,353.094
sampler,144,388.072
sampler,160,423.304
sampler,176,475.634
sampler,192,505.671
sampler,208,538.567
sampler,224,572.54
sampler,240,612.326
sampler,256,662.353
