layer,sequences,time_us
lm_head,1,649.05
lm_head,2,655.74
lm_head,3,657.339
lm_head,4,664.699
lm_head,5,665.691
lm_head,6,672.314
lm_head,7,678.556
lm_head,8,669.147
lm_head,9,671.003
lm_head,10,638.363
lm_head,11,638.714
lm_head,12,633.98
lm_head,13,644.443
lm_head,14,658.363
lm_head,15,644.122
lm_head,16,657.759
lm_head,20,741.786
lm_head,24,749.209
lm_head,28,748.217
lm_head,32,768.762
sampler,1,46.689
sampler,2,46.303
sampler,3,48.862
sampler,4,47.297
sampler,5,46.43
sampler,6,48.095
sampler,7,49.376
sampler,8,48.608
sampler,9,48.255
sampler,10,49.248
sampler,11,50.816
sampler,12,48.833
sampler,13,48.768
sampler,14,49.952
sampler,15,48.767
sampler,16,51.776
sampler,20,53.12
sampler,24,58.592
sampler,28,60.544
sampler,32,61.729
