tokens,activated_experts,time_us
1,8,6560.88
2,8,6593.26
2,16,12601.4
4,8,6653.26
4,16,12556.8
4,32,24272.9
8,8,6569.46
8,16,12637.5
8,32,24310.3
8,64,45763.3
16,8,6552.47
16,16,12649.9
16,32,24226.1
16,64,45724.8
16,128,89309.3
32,8,12586.6
32,16,12577
32,32,24528.2
32,64,45615.9
32,128,89304.5
64,8,20718.3
64,16,20931
64,32,41419.5
64,64,77514.1
64,128,151810
128,8,82728.3
128,16,82908.3
128,32,162303
128,64,324842
128,128,620691
256,8,126596
256,16,126650
256,32,126810
256,64,257558
256,128,500897
