layer,tokens,time_us
embedding,1,7.84
embedding,2,7.744
embedding,3,8.128
embedding,4,8.992
embedding,5,9.344
embedding,6,9.728
embedding,7,10.176
embedding,8,10.561
embedding,9,11.328
embedding,10,12.673
embedding,11,12.64
embedding,12,13.216
embedding,13,13.696
embedding,14,14.432
embedding,15,14.207
embedding,16,14.497
embedding,20,6.592
embedding,24,6.529
embedding,28,7.36
embedding,32,6.624
embedding,36,6.847
embedding,40,6.88
embedding,44,7.168
embedding,48,7.104
embedding,52,7.328
embedding,56,7.232
embedding,60,7.424
embedding,64,7.392
embedding,80,8.32
embedding,96,8.064
embedding,112,8.736
embedding,128,8.416
embedding,144,9.151
embedding,160,9.025
embedding,176,9.184
embedding,192,9.344
embedding,208,9.375
embedding,224,9.472
embedding,240,9.824
embedding,256,9.952
final_layernorm,1,16.192
final_layernorm,2,15.872
final_layernorm,3,15.744
final_layernorm,4,15.777
final_layernorm,5,14.88
final_layernorm,6,15.072
final_layernorm,7,14.944
final_layernorm,8,14.944
final_layernorm,9,16.48
final_layernorm,10,16.511
final_layernorm,11,16.705
final_layernorm,12,16.896
final_layernorm,13,16.608
final_layernorm,14,16.608
final_layernorm,15,16.895
final_layernorm,16,15.232
final_layernorm,20,17.567
final_layernorm,24,15.68
final_layernorm,28,16.512
final_layernorm,32,16.383
final_layernorm,36,17.247
final_layernorm,40,17.504
final_layernorm,44,17.728
final_layernorm,48,17.76
final_layernorm,52,17.599
final_layernorm,56,17.728
final_layernorm,60,18.048
final_layernorm,64,17.856
final_layernorm,80,17.951
final_layernorm,96,19.04
final_layernorm,112,18.625
final_layernorm,128,18.176
final_layernorm,144,18.528
final_layernorm,160,18.751
final_layernorm,176,19.552
final_layernorm,192,19.808
final_layernorm,208,19.169
final_layernorm,224,19.392
final_layernorm,240,20.128
final_layernorm,256,19.424
layernorm,1,16.272
layernorm,2,14.2555
layernorm,3,14.223
layernorm,4,14.608
layernorm,5,14.56
layernorm,6,14.448
layernorm,7,14.32
layernorm,8,14.064
layernorm,9,14.384
layernorm,10,14.32
layernorm,11,14.656
layernorm,12,14.544
layernorm,13,14.32
layernorm,14,13.904
layernorm,15,14.3995
layernorm,16,14.272
layernorm,20,14.496
layernorm,24,14.048
layernorm,28,14.432
layernorm,32,14.048
layernorm,36,14.688
layernorm,40,14.704
layernorm,44,14.3675
layernorm,48,14.2875
layernorm,52,14.56
layernorm,56,14.784
layernorm,60,14.544
layernorm,64,14.768
layernorm,80,15.536
layernorm,96,15.3595
layernorm,112,15.2
layernorm,128,15.424
layernorm,144,15.488
layernorm,160,15.632
layernorm,176,16.383
layernorm,192,16.416
layernorm,208,16.784
layernorm,224,17.392
layernorm,240,17.584
layernorm,256,17.119
o_proj,1,37.535
o_proj,2,49.568
o_proj,3,50.848
o_proj,4,50.528
o_proj,5,51.167
o_proj,6,49.503
o_proj,7,51.327
o_proj,8,51.392
o_proj,9,37.12
o_proj,10,36.639
o_proj,11,36.192
o_proj,12,36.032
o_proj,13,38.912
o_proj,14,38.4
o_proj,15,38.303
o_proj,16,40
o_proj,20,46.08
o_proj,24,47.296
o_proj,28,48.256
o_proj,32,48.928
o_proj,36,85.823
o_proj,40,85.408
o_proj,44,85.663
o_proj,48,84.927
o_proj,52,83.967
o_proj,56,84.031
o_proj,60,83.647
o_proj,64,83.871
o_proj,80,72.991
o_proj,96,74.656
o_proj,112,86.304
o_proj,128,88.479
o_proj,144,102.975
o_proj,160,116.416
o_proj,176,103.933
o_proj,192,107.711
o_proj,208,109.247
o_proj,224,109.439
o_proj,240,109.12
o_proj,256,111.072
qkv_proj,1,58.687
qkv_proj,2,54.176
qkv_proj,3,49.759
qkv_proj,4,57.152
qkv_proj,5,58.431
qkv_proj,6,57.151
